 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK    RgDry    RgWet      Sg         Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.4690  0.100E-07  3.22568  3.22568    0.60  0.000141  0.990  3.226  1.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000 -0.000
  400.0    0  1.4400  0.100E-07  3.22568  3.22568    0.60  0.000040  0.990  3.226  0.999  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
  440.0    0  1.4330  0.998E-08  3.22568  3.22568    0.60  0.000027  0.990  3.226  0.999  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
  500.0    0  1.4310  0.100E-07  3.22568  3.22568    0.60  0.000016  0.990  3.226  0.998  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
  550.0    0  1.4300  0.100E-07  3.22568  3.22568    0.60  0.000011  0.990  3.226  0.998  0.000  1.000  0.001  0.500  0.000  0.000  0.000 -0.000 -0.000
  600.0    0  1.4290  0.147E-07  3.22568  3.22568    0.60  0.000008  0.990  3.226  0.996  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
  675.0    0  1.4286  0.161E-07  3.22568  3.22568    0.60  0.000005  0.990  3.226  0.993  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
  800.0    0  1.4260  0.863E-07  3.22568  3.22568    0.60  0.000003  0.990  3.226  0.940  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
  870.0    0  1.4254  0.181E-06  3.22568  3.22568    0.60  0.000002  0.990  3.226  0.853  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
 1000.0    0  1.4220  0.153E-05  3.22568  3.22568    0.60  0.000003  0.990  3.226  0.308  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
 1020.0    0  1.4213  0.222E-07  3.22568  3.22568    0.60  0.000001  0.990  3.226  0.966  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
