 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK    RgDry    RgWet      Sg         Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.4690  0.100E-07  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.160  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
  400.0    0  1.4400  0.100E-07  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.066  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
  440.0    0  1.4330  0.998E-08  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.049  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
  500.0    0  1.4310  0.100E-07  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.033  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
  550.0    0  1.4300  0.100E-07  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.025  0.000  1.000  0.000  0.500  0.000  0.000 -0.000  0.000 -0.000
  600.0    0  1.4290  0.147E-07  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.013  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
  675.0    0  1.4286  0.161E-07  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.009  0.000  1.000  0.000  0.500  0.000  0.000 -0.000 -0.000  0.000
  800.0    0  1.4260  0.863E-07  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.001  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
  870.0    0  1.4254  0.181E-06  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
 1000.0    0  1.4220  0.153E-05  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.000  0.000  1.000  0.000  0.500  0.000  0.000 -0.000  0.000 -0.000
 1020.0    0  1.4213  0.222E-07  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.002  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
55555.6    0  1.9000  0.190E+00  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.000 -0.000  1.000 -0.000  0.500  0.000 -0.000  0.000 -0.000 -0.000
23529.4    0  1.9155  0.188E-01  0.12700  0.12700    0.60  0.000000  0.990  0.127  0.000 -0.000  1.000 -0.000  0.500  0.000 -0.000  0.000 -0.000 -0.000
17699.1    0  1.8923  0.236E+00  0.12700  0.12700    0.60  0.000001  0.990  0.127  0.000  0.000  1.000  0.000  0.200  0.000 -0.000 -0.000 -0.000 -0.000
15037.6    0  1.5858  0.212E+00  0.12700  0.12700    0.60  0.000001  0.990  0.127  0.000 -0.000  1.000 -0.000  0.500  0.000 -0.000 -0.000 -0.000  0.000
13157.9    0  1.6817  0.196E+00  0.12700  0.12700    0.60  0.000001  0.990  0.127  0.000 -0.000  1.000 -0.000  0.500  0.000 -0.000  0.000  0.000  0.000
11111.1    0  1.7044  0.486E+00  0.12700  0.12700    0.60  0.000003  0.990  0.127  0.000  0.000  1.000  0.000  0.500  0.000 -0.000  0.000 -0.000  0.000
 9708.7    0  1.8565  0.744E+00  0.12700  0.12700    0.60  0.000004  0.990  0.127  0.000 -0.000  1.000 -0.000  0.200  0.000 -0.000  0.000 -0.000 -0.000
 8849.6    0  1.6203  0.715E+00  0.12700  0.12700    0.60  0.000006  0.990  0.127  0.000  0.000  1.000  0.000  0.500  0.000 -0.000  0.000  0.000  0.000
