 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK    RgDry    RgWet      Sg         Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.4690  0.100E-07  1.28011  1.28011    0.60  0.000001  0.990  1.280  0.995  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
  400.0    0  1.4400  0.100E-07  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.986  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000 -0.000
  440.0    0  1.4330  0.998E-08  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.981  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
  500.0    0  1.4310  0.100E-07  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.973  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
  550.0    0  1.4300  0.100E-07  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.964  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
  600.0    0  1.4290  0.147E-07  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.933  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
  675.0    0  1.4286  0.161E-07  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.899  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
  800.0    0  1.4260  0.863E-07  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.495  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
  870.0    0  1.4254  0.181E-06  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.266  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
 1000.0    0  1.4220  0.153E-05  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.027  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
 1020.0    0  1.4213  0.222E-07  1.28011  1.28011    0.60  0.000000  0.990  1.280  0.642  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
55555.6    0  1.9000  0.190E+00  1.28011  1.28011    0.60  0.000204  0.990  1.280  0.000  0.000  1.000  0.000  0.200  0.000 -0.000 -0.000 -0.000 -0.000
23529.4    0  1.9155  0.188E-01  1.28011  1.28011    0.60  0.000047  0.990  1.280  0.000  0.000  1.000  0.000  0.200  0.000 -0.000 -0.000  0.000  0.000
