,h2so4,RRTMG,LUT,interpolated,from,GADS,(DAR,09/2013)
,V0.1,-,contains,Fast-J,wavelengths,but,is,the,same,as,the,original,jv_spec.dat,values
,w(nm),RH,,N,,iK,RgDry,RgWet,Sg,,Q,Alpha,r-eff,ss-alb,g-sym,pi(0),pi(1),pi(2),pi(3),pi(4),pi(5),pi(6),pi(7)
,2044.2,0,1.3176,0.000E+00,0.080,0.080,0.60,0.0004,0.990,0.080,1.000,0.011,1.000,0.033,0.500,0.007,0.000,0.000,0.000,0.000
,1778.4,0,1.3291,0.000E+00,0.080,0.080,0.60,0.0007,0.990,0.080,1.000,0.015,1.000,0.044,0.500,0.009,0.000,0.000,0.000,0.000
,1455.2,0,1.3326,0.000E+00,0.080,0.080,0.60,0.0016,0.990,0.080,1.000,0.022,1.000,0.065,0.501,0.014,0.000,0.000,0.000,0.000
,1270.3,0,1.3326,0.000E+00,0.080,0.080,0.60,0.0027,0.990,0.080,1.000,0.029,1.000,0.086,0.501,0.018,0.000,0.000,0.000,0.000
,944.3,0,1.3326,0.000E+00,0.080,0.080,0.60,0.0088,0.990,0.080,1.000,0.052,1.000,0.155,0.505,0.032,0.001,0.000,0.000,0.000
,693.5,0,1.3326,0.000E+00,0.080,0.080,0.60,0.0292,0.990,0.080,1.000,0.096,1.000,0.287,0.516,0.060,0.003,0.000,0.000,0.000
,527.1,0,1.3326,0.000E+00,0.080,0.080,0.60,0.0808,0.990,0.080,1.000,0.167,1.000,0.502,0.549,0.105,0.009,0.000,0.000,0.000
,399.8,0,1.3326,0.000E+00,0.080,0.080,0.60,0.2006,0.990,0.080,1.000,0.303,1.000,0.908,0.661,0.194,0.029,0.002,0.000,0.000
,329.1,0,1.3326,0.000E+00,0.080,0.080,0.60,0.3427,0.990,0.080,1.000,0.464,1.000,1.392,0.889,0.322,0.069,0.009,0.001,0.000
,229.8,0,1.3326,0.000E+00,0.080,0.080,0.60,0.9316,0.990,0.080,1.000,0.682,1.000,2.045,1.809,0.865,0.322,0.080,0.014,0.002
,7082.2,0,1.3270,0.562E-01,0.080,0.080,0.60,0.0090,0.990,0.080,0.000,0.001,1.000,0.003,0.500,0.001,0.000,0.000,0.000,-0.000
,300.0,50,1.3797,0.114E-01,0.080,0.120,0.60,1.6177,0.990,0.120,0.932,0.705,1.000,2.114,2.237,1.438,0.674,0.206,0.046,0.007
,400.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.8723,0.990,0.120,0.907,0.650,1.000,1.951,1.412,0.568,0.173,0.033,0.004,0.000
,440.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.6680,0.990,0.120,0.896,0.590,1.000,1.770,1.161,0.440,0.115,0.018,0.002,0.000
,500.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.4810,0.990,0.120,0.883,0.468,1.000,1.404,0.884,0.309,0.065,0.008,0.001,0.000
,550.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.3788,0.990,0.120,0.870,0.379,1.000,1.138,0.748,0.240,0.042,0.004,0.000,0.000
,600.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.3015,0.990,0.120,0.855,0.312,1.000,0.935,0.667,0.192,0.028,0.002,0.000,0.000
,675.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.2165,0.990,0.120,0.827,0.240,1.000,0.719,0.599,0.146,0.017,0.001,0.000,0.000
,800.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.1301,0.990,0.120,0.769,0.167,1.000,0.500,0.548,0.101,0.008,0.000,0.000,0.000
,870.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.1006,0.990,0.120,0.732,0.140,1.000,0.420,0.534,0.085,0.006,0.000,0.000,0.000
,1000.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.0662,0.990,0.120,0.660,0.105,1.000,0.316,0.519,0.064,0.003,0.000,0.000,0.000
,1020.0,50,1.3797,0.114E-01,0.080,0.120,0.60,0.0624,0.990,0.120,0.649,0.101,1.000,0.304,0.518,0.061,0.003,0.000,0.000,0.000
55555.6,50,1.7343,0.386E+00,0.080,0.120,0.60,0.0086,0.990,0.120,0.000,0.000,1.000,0.000,0.500,0.000,0.000,0.000,-0.000,0.000
23529.4,50,1.7349,0.395E+00,0.080,0.120,0.60,0.0207,0.990,0.120,0.000,0.000,1.000,0.001,0.500,0.000,0.000,0.000,0.000,-0.000
17699.1,50,1.7588,0.446E+00,0.080,0.120,0.60,0.0304,0.990,0.120,0.000,0.000,1.000,0.001,0.500,0.000,0.000,0.000,0.000,0.000
15037.6,50,1.5027,0.362E+00,0.080,0.120,0.60,0.0359,0.990,0.120,0.000,0.000,1.000,0.001,0.500,0.000,0.000,0.000,0.000,-0.000
13157.9,50,1.5337,0.292E+00,0.080,0.120,0.60,0.0325,0.990,0.120,0.000,0.001,1.000,0.002,0.500,0.000,0.000,0.000,0.000,0.000
11111.1,50,1.5882,0.344E+00,0.080,0.120,0.60,0.0434,0.990,0.120,0.000,0.001,1.000,0.003,0.500,0.001,0.000,0.000,0.000,-0.000
