 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.640  0.640    0.60  2.1783  0.990  0.640  1.000  0.741  1.000  2.224  3.311  3.548  4.011  4.342  4.821  5.147
  400.0    0  1.3326  0.000E+00  0.640  0.640    0.60  2.1066  0.990  0.640  1.000  0.707  1.000  2.120  2.877  2.723  2.603  2.470  2.347  2.422
  440.0    0  1.3326  0.000E+00  0.640  0.640    0.60  2.6392  0.990  0.640  1.000  0.759  1.000  2.276  3.185  3.343  3.426  3.457  3.462  3.576
  500.0    0  1.3326  0.000E+00  0.640  0.640    0.60  3.2913  0.990  0.640  1.000  0.798  1.000  2.395  3.436  3.862  4.116  4.248  4.321  4.377
  550.0    0  1.3326  0.000E+00  0.640  0.640    0.60  3.7337  0.990  0.640  1.000  0.826  1.000  2.479  3.604  4.125  4.467  4.622  4.632  4.651
  600.0    0  1.3326  0.000E+00  0.640  0.640    0.60  3.8994  0.990  0.640  1.000  0.846  1.000  2.537  3.653  4.256  4.590  4.705  4.622  4.426
  675.0    0  1.3326  0.000E+00  0.640  0.640    0.60  3.9038  0.990  0.640  1.000  0.847  1.000  2.541  3.646  4.199  4.457  4.394  4.123  3.682
  800.0    0  1.3326  0.000E+00  0.640  0.640    0.60  3.6231  0.990  0.640  1.000  0.844  1.000  2.532  3.561  3.981  4.008  3.688  3.047  2.276
  870.0    0  1.3326  0.000E+00  0.640  0.640    0.60  3.3608  0.990  0.640  1.000  0.845  1.000  2.534  3.520  3.826  3.721  3.189  2.440  1.557
 1000.0    0  1.3326  0.000E+00  0.640  0.640    0.60  2.8730  0.990  0.640  1.000  0.827  1.000  2.482  3.307  3.431  3.026  2.297  1.347  0.545
 1020.0    0  1.3326  0.000E+00  0.640  0.640    0.60  2.7944  0.990  0.640  1.000  0.824  1.000  2.473  3.288  3.363  2.935  2.173  1.230  0.473
55555.6    0  1.1684  0.258E+00  0.640  0.640    0.60  0.0467  0.990  0.640  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
23529.4    0  1.1684  0.258E+00  0.640  0.640    0.60  0.1107  0.990  0.640  0.001  0.005  1.000  0.015  0.500  0.003  0.000  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  0.640  0.640    0.60  0.1479  0.990  0.640  0.002  0.009  1.000  0.026  0.500  0.006  0.000  0.000  0.000  0.000
15037.6    0  1.1684  0.258E+00  0.640  0.640    0.60  0.1746  0.990  0.640  0.003  0.012  1.000  0.036  0.500  0.008  0.000  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  0.640  0.640    0.60  0.2003  0.990  0.640  0.005  0.016  1.000  0.047  0.500  0.011  0.000  0.000  0.000  0.000
11111.1    0  1.1796  0.164E+00  0.640  0.640    0.60  0.1502  0.990  0.640  0.007  0.022  1.000  0.067  0.501  0.015  0.000  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  0.640  0.640    0.60  0.1051  0.990  0.640  0.031  0.031  1.000  0.093  0.502  0.020  0.000  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  0.640  0.640    0.60  0.1697  0.990  0.640  0.025  0.037  1.000  0.111  0.502  0.024  0.000  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  0.640  0.640    0.60  0.0903  0.990  0.640  0.074  0.048  1.000  0.144  0.504  0.031  0.001  0.000  0.000  0.000
 6968.6    0  1.3311  0.555E-01  0.640  0.640    0.60  0.0918  0.990  0.640  0.133  0.061  1.000  0.182  0.507  0.038  0.001  0.000  0.000  0.000
 6097.6    0  1.3533  0.119E+00  0.640  0.640    0.60  0.2218  0.990  0.640  0.112  0.081  1.000  0.242  0.511  0.050  0.002  0.000  0.000  0.000
 5154.6    0  1.3366  0.293E-01  0.640  0.640    0.60  0.0999  0.990  0.640  0.394  0.112  1.000  0.335  0.522  0.069  0.004  0.000  0.000  0.000
 4618.9    0  1.3577  0.343E-01  0.640  0.640    0.60  0.1478  0.990  0.640  0.451  0.141  1.000  0.423  0.535  0.086  0.006  0.000  0.000  0.000
 4319.7    0  1.3621  0.267E-01  0.640  0.640    0.60  0.1558  0.990  0.640  0.558  0.162  1.000  0.487  0.546  0.099  0.008  0.000  0.000  0.000
 4016.1    0  1.3799  0.213E-01  0.640  0.640    0.60  0.1843  0.990  0.640  0.671  0.190  1.000  0.571  0.562  0.115  0.011  0.001  0.000  0.000
 3418.8    0  1.4670  0.487E-01  0.640  0.640    0.60  0.4812  0.990  0.640  0.646  0.287  1.000  0.861  0.634  0.163  0.021  0.002  0.000  0.000
 3444.7    0  1.4602  0.438E-01  0.640  0.640    0.60  0.4482  0.990  0.640  0.660  0.280  1.000  0.841  0.629  0.160  0.020  0.001  0.000  0.000
 2777.0    0  1.1248  0.530E-01  0.640  0.640    0.60  0.2493  0.990  0.640  0.175  0.382  1.000  1.147  0.781  0.303  0.062  0.007  0.001  0.000
 2320.2    0  1.2971  0.000E+00  0.640  0.640    0.60  0.3777  0.990  0.640  1.000  0.574  1.000  1.723  1.147  0.461  0.124  0.020  0.002  0.000
 2044.2    0  1.3176  0.000E+00  0.640  0.640    0.60  0.6233  0.990  0.640  1.000  0.665  1.000  1.994  1.514  0.649  0.209  0.043  0.006  0.001
 1778.4    0  1.3291  0.000E+00  0.640  0.640    0.60  0.9871  0.990  0.640  1.000  0.684  1.000  2.053  1.902  0.957  0.374  0.098  0.018  0.002
 1455.2    0  1.3326  0.000E+00  0.640  0.640    0.60  1.4879  0.990  0.640  1.000  0.748  1.000  2.245  2.529  1.893  1.000  0.351  0.094  0.018
 1270.3    0  1.3326  0.000E+00  0.640  0.640    0.60  1.9808  0.990  0.640  1.000  0.794  1.000  2.381  2.846  2.518  1.652  0.732  0.261  0.067
  944.3    0  1.3326  0.000E+00  0.640  0.640    0.60  3.0556  0.990  0.640  1.000  0.836  1.000  2.507  3.381  3.608  3.286  2.628  1.716  0.834
  693.5    0  1.3326  0.000E+00  0.640  0.640    0.60  3.9407  0.990  0.640  1.000  0.852  1.000  2.556  3.657  4.207  4.446  4.348  4.040  3.525
  527.1    0  1.3326  0.000E+00  0.640  0.640    0.60  3.4903  0.990  0.640  1.000  0.822  1.000  2.467  3.542  4.062  4.403  4.576  4.616  4.681
  399.8    0  1.3326  0.000E+00  0.640  0.640    0.60  2.1011  0.990  0.640  1.000  0.707  1.000  2.120  2.874  2.718  2.598  2.463  2.339  2.414
  329.1    0  1.3326  0.000E+00  0.640  0.640    0.60  1.8485  0.990  0.640  1.000  0.627  1.000  1.882  2.677  2.410  2.601  2.507  2.679  2.930
