 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0504  0.990  0.040  1.000  0.128  1.000  0.384  0.529  0.080  0.005  0.000  0.000  0.000
  400.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0168  0.990  0.040  1.000  0.072  1.000  0.215  0.509  0.045  0.002  0.000  0.000  0.000
  440.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0116  0.990  0.040  1.000  0.059  1.000  0.178  0.506  0.037  0.001  0.000  0.000  0.000
  500.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0070  0.990  0.040  1.000  0.046  1.000  0.138  0.504  0.029  0.001  0.000  0.000  0.000
  550.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0048  0.990  0.040  1.000  0.038  1.000  0.114  0.503  0.024  0.000  0.000  0.000  0.000
  600.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0034  0.990  0.040  1.000  0.032  1.000  0.096  0.502  0.020  0.000  0.000  0.000  0.000
  675.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0021  0.990  0.040  1.000  0.025  1.000  0.076  0.501  0.016  0.000  0.000  0.000  0.000
  800.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0011  0.990  0.040  1.000  0.018  1.000  0.054  0.501  0.011  0.000  0.000  0.000  0.000
  870.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0008  0.990  0.040  1.000  0.015  1.000  0.046  0.500  0.010  0.000  0.000  0.000  0.000
 1000.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0004  0.990  0.040  1.000  0.012  1.000  0.035  0.500  0.007  0.000  0.000  0.000  0.000
 1020.0    0  1.3326  0.000E+00  0.040  0.040    0.60  0.0004  0.990  0.040  1.000  0.011  1.000  0.033  0.500  0.007  0.000  0.000  0.000  0.000
55555.6    0  1.1684  0.258E+00  0.040  0.040    0.60  0.0029  0.990  0.040  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
23529.4    0  1.1684  0.258E+00  0.040  0.040    0.60  0.0069  0.990  0.040  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
17699.1    0  1.1684  0.258E+00  0.040  0.040    0.60  0.0091  0.990  0.040  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000 -0.000
15037.6    0  1.1684  0.258E+00  0.040  0.040    0.60  0.0108  0.990  0.040  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
13157.9    0  1.1684  0.258E+00  0.040  0.040    0.60  0.0123  0.990  0.040  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
11111.1    0  1.1796  0.164E+00  0.040  0.040    0.60  0.0091  0.990  0.040  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
 9708.7    0  1.3159  0.103E+00  0.040  0.040    0.60  0.0060  0.990  0.040  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  0.040  0.040    0.60  0.0098  0.990  0.040  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  0.040  0.040    0.60  0.0049  0.990  0.040  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000 -0.000 -0.000
 6968.6    0  1.3311  0.555E-01  0.040  0.040    0.60  0.0045  0.990  0.040  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
 6097.6    0  1.3533  0.119E+00  0.040  0.040    0.60  0.0109  0.990  0.040  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
 5154.6    0  1.3366  0.293E-01  0.040  0.040    0.60  0.0032  0.990  0.040  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
 4618.9    0  1.3577  0.343E-01  0.040  0.040    0.60  0.0041  0.990  0.040  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
 4319.7    0  1.3621  0.267E-01  0.040  0.040    0.60  0.0034  0.990  0.040  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000 -0.000
 4016.1    0  1.3799  0.213E-01  0.040  0.040    0.60  0.0029  0.990  0.040  0.001  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
 3418.8    0  1.4670  0.487E-01  0.040  0.040    0.60  0.0073  0.990  0.040  0.001  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
