 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0210  0.990  0.032  1.000  0.080  1.000  0.241  0.511  0.050  0.002  0.000  0.000  0.000
  400.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0068  0.990  0.032  1.000  0.045  1.000  0.136  0.504  0.028  0.001  0.000  0.000  0.000
  440.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0047  0.990  0.032  1.000  0.037  1.000  0.112  0.502  0.023  0.000  0.000  0.000  0.000
  500.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0028  0.990  0.032  1.000  0.029  1.000  0.087  0.501  0.018  0.000  0.000  0.000  0.000
  550.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0019  0.990  0.032  1.000  0.024  1.000  0.072  0.501  0.015  0.000  0.000  0.000  0.000
  600.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0014  0.990  0.032  1.000  0.020  1.000  0.061  0.501  0.013  0.000  0.000  0.000  0.000
  675.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0009  0.990  0.032  1.000  0.016  1.000  0.048  0.500  0.010  0.000  0.000  0.000  0.000
  800.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0004  0.990  0.032  1.000  0.011  1.000  0.034  0.500  0.007  0.000  0.000  0.000  0.000
  870.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0003  0.990  0.032  1.000  0.010  1.000  0.029  0.500  0.006  0.000  0.000  0.000  0.000
 1000.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0002  0.990  0.032  1.000  0.007  1.000  0.022  0.500  0.005  0.000  0.000  0.000  0.000
 1020.0    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0002  0.990  0.032  1.000  0.007  1.000  0.021  0.500  0.004  0.000  0.000  0.000  0.000
55555.6    0  1.1684  0.258E+00  0.032  0.032    0.60  0.0023  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
23529.4    0  1.1684  0.258E+00  0.032  0.032    0.60  0.0055  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
17699.1    0  1.1684  0.258E+00  0.032  0.032    0.60  0.0073  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
15037.6    0  1.1684  0.258E+00  0.032  0.032    0.60  0.0085  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  0.032  0.032    0.60  0.0098  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
11111.1    0  1.1796  0.164E+00  0.032  0.032    0.60  0.0073  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
 9708.7    0  1.3159  0.103E+00  0.032  0.032    0.60  0.0048  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000 -0.000
 8849.6    0  1.2787  0.149E+00  0.032  0.032    0.60  0.0078  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  0.032  0.032    0.60  0.0039  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
 6968.6    0  1.3311  0.555E-01  0.032  0.032    0.60  0.0036  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000 -0.000
 6097.6    0  1.3533  0.119E+00  0.032  0.032    0.60  0.0086  0.990  0.032  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000 -0.000  0.000
 5154.6    0  1.3366  0.293E-01  0.032  0.032    0.60  0.0025  0.990  0.032  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
 4618.9    0  1.3577  0.343E-01  0.032  0.032    0.60  0.0033  0.990  0.032  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
 4319.7    0  1.3621  0.267E-01  0.032  0.032    0.60  0.0027  0.990  0.032  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
 4016.1    0  1.3799  0.213E-01  0.032  0.032    0.60  0.0023  0.990  0.032  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
 3418.8    0  1.4670  0.487E-01  0.032  0.032    0.60  0.0058  0.990  0.032  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000 -0.000
 3444.7    0  1.4602  0.438E-01  0.032  0.032    0.60  0.0052  0.990  0.032  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
 2777.0    0  1.1248  0.530E-01  0.032  0.032    0.60  0.0096  0.990  0.032  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000 -0.000
 2320.2    0  1.2971  0.000E+00  0.032  0.032    0.60  0.0000  0.990  0.032  1.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
 2044.2    0  1.3176  0.000E+00  0.032  0.032    0.60  0.0000  0.990  0.032  1.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
 1778.4    0  1.3291  0.000E+00  0.032  0.032    0.60  0.0000  0.990  0.032  1.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
 1455.2    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0000  0.990  0.032  1.000  0.003  1.000  0.010  0.500  0.002  0.000  0.000  0.000  0.000
 1270.3    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0001  0.990  0.032  1.000  0.005  1.000  0.014  0.500  0.003  0.000  0.000  0.000  0.000
  944.3    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0002  0.990  0.032  1.000  0.008  1.000  0.025  0.500  0.005  0.000  0.000  0.000  0.000
  693.5    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0008  0.990  0.032  1.000  0.015  1.000  0.045  0.500  0.009  0.000  0.000  0.000  0.000
  527.1    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0023  0.990  0.032  1.000  0.026  1.000  0.078  0.501  0.016  0.000  0.000  0.000  0.000
  399.8    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0068  0.990  0.032  1.000  0.045  1.000  0.136  0.504  0.028  0.001  0.000  0.000  0.000
  329.1    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0146  0.990  0.032  1.000  0.067  1.000  0.200  0.508  0.042  0.001  0.000  0.000  0.000
  229.8    0  1.3326  0.000E+00  0.032  0.032    0.60  0.0575  0.990  0.032  1.000  0.138  1.000  0.413  0.534  0.086  0.006  0.000  0.000  0.000
 7082.2    0  1.3270  0.562E-01  0.032  0.032    0.60  0.0036  0.990  0.032  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
  300.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.1546  0.990  0.048  0.790  0.188  1.000  0.563  0.561  0.114  0.010  0.001  0.000  0.000
  400.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0646  0.990  0.048  0.656  0.104  1.000  0.311  0.519  0.063  0.003  0.000  0.000  0.000
  440.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0491  0.990  0.048  0.598  0.086  1.000  0.257  0.513  0.052  0.002  0.000  0.000  0.000
  500.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0347  0.990  0.048  0.514  0.066  1.000  0.199  0.508  0.040  0.001  0.000  0.000  0.000
  550.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0273  0.990  0.048  0.450  0.055  1.000  0.165  0.505  0.033  0.001  0.000  0.000  0.000
  600.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0222  0.990  0.048  0.391  0.046  1.000  0.138  0.504  0.028  0.001  0.000  0.000  0.000
  675.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0173  0.990  0.048  0.316  0.036  1.000  0.109  0.502  0.022  0.000  0.000  0.000  0.000
  800.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0125  0.990  0.048  0.221  0.026  1.000  0.078  0.501  0.016  0.000  0.000  0.000  0.000
  870.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0109  0.990  0.048  0.182  0.022  1.000  0.066  0.501  0.013  0.000  0.000  0.000  0.000
 1000.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0088  0.990  0.048  0.129  0.017  1.000  0.050  0.500  0.010  0.000  0.000  0.000  0.000
 1020.0   50  1.3797  0.114E-01  0.032  0.048    0.60  0.0086  0.990  0.048  0.123  0.016  1.000  0.048  0.500  0.010  0.000  0.000  0.000  0.000
55555.6   50  1.7343  0.386E+00  0.032  0.048    0.60  0.0034  0.990  0.048  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
23529.4   50  1.7349  0.395E+00  0.032  0.048    0.60  0.0082  0.990  0.048  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
17699.1   50  1.7588  0.446E+00  0.032  0.048    0.60  0.0120  0.990  0.048  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
15037.6   50  1.5027  0.362E+00  0.032  0.048    0.60  0.0142  0.990  0.048  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
13157.9   50  1.5337  0.292E+00  0.032  0.048    0.60  0.0129  0.990  0.048  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
11111.1   50  1.5882  0.344E+00  0.032  0.048    0.60  0.0172  0.990  0.048  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
 9708.7   50  1.6413  0.508E+00  0.032  0.048    0.60  0.0275  0.990  0.048  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000 -0.000 -0.000
 8849.6   50  1.4307  0.516E+00  0.032  0.048    0.60  0.0363  0.990  0.048  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
 7782.1   50  1.2466  0.243E+00  0.032  0.048    0.60  0.0222  0.990  0.048  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
 6968.6   50  1.3269  0.172E+00  0.032  0.048    0.60  0.0167  0.990  0.048  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
 6097.6   50  1.4180  0.218E+00  0.032  0.048    0.60  0.0226  0.990  0.048  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
 5154.6   50  1.3078  0.147E+00  0.032  0.048    0.60  0.0195  0.990  0.048  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000 -0.000
 4618.9   50  1.3434  0.122E+00  0.032  0.048    0.60  0.0176  0.990  0.048  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000 -0.000
 4319.7   50  1.3490  0.116E+00  0.032  0.048    0.60  0.0179  0.990  0.048  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000 -0.000
 4016.1   50  1.3559  0.107E+00  0.032  0.048    0.60  0.0176  0.990  0.048  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000 -0.000
 3418.8   50  1.3709  0.124E+00  0.032  0.048    0.60  0.0238  0.990  0.048  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
