 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.508  0.508    0.60  1.9653  0.990  0.508  1.000  0.643  1.000  1.928  2.625  2.292  2.133  1.813  1.804  1.744
  400.0    0  1.3326  0.000E+00  0.508  0.508    0.60  3.2897  0.990  0.508  1.000  0.800  1.000  2.400  3.437  3.880  4.140  4.274  4.345  4.392
  440.0    0  1.3326  0.000E+00  0.508  0.508    0.60  3.7374  0.990  0.508  1.000  0.826  1.000  2.478  3.601  4.125  4.460  4.603  4.609  4.602
  500.0    0  1.3326  0.000E+00  0.508  0.508    0.60  3.9632  0.990  0.508  1.000  0.845  1.000  2.534  3.672  4.247  4.537  4.621  4.431  4.199
  550.0    0  1.3326  0.000E+00  0.508  0.508    0.60  3.9401  0.990  0.508  1.000  0.852  1.000  2.556  3.657  4.207  4.446  4.349  4.043  3.530
  600.0    0  1.3326  0.000E+00  0.508  0.508    0.60  3.7260  0.990  0.508  1.000  0.849  1.000  2.547  3.612  4.105  4.178  3.982  3.434  2.747
  675.0    0  1.3326  0.000E+00  0.508  0.508    0.60  3.4608  0.990  0.508  1.000  0.845  1.000  2.535  3.540  3.872  3.825  3.346  2.640  1.782
  800.0    0  1.3326  0.000E+00  0.508  0.508    0.60  2.8427  0.990  0.508  1.000  0.826  1.000  2.478  3.299  3.405  2.991  2.249  1.300  0.515
  870.0    0  1.3326  0.000E+00  0.508  0.508    0.60  2.4768  0.990  0.508  1.000  0.811  1.000  2.433  3.184  3.068  2.522  1.625  0.809  0.270
 1000.0    0  1.3326  0.000E+00  0.508  0.508    0.60  2.0094  0.990  0.508  1.000  0.795  1.000  2.384  2.863  2.546  1.692  0.764  0.278  0.073
 1020.0    0  1.3326  0.000E+00  0.508  0.508    0.60  1.9393  0.990  0.508  1.000  0.792  1.000  2.376  2.823  2.478  1.595  0.689  0.239  0.060
55555.6    0  1.1684  0.258E+00  0.508  0.508    0.60  0.0370  0.990  0.508  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
23529.4    0  1.1684  0.258E+00  0.508  0.508    0.60  0.0877  0.990  0.508  0.000  0.003  1.000  0.009  0.500  0.002  0.000  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  0.508  0.508    0.60  0.1169  0.990  0.508  0.001  0.005  1.000  0.016  0.500  0.004  0.000  0.000  0.000  0.000
15037.6    0  1.1684  0.258E+00  0.508  0.508    0.60  0.1380  0.990  0.508  0.002  0.008  1.000  0.023  0.500  0.005  0.000  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  0.508  0.508    0.60  0.1581  0.990  0.508  0.002  0.010  1.000  0.030  0.500  0.007  0.000  0.000  0.000  0.000
11111.1    0  1.1796  0.164E+00  0.508  0.508    0.60  0.1181  0.990  0.508  0.004  0.014  1.000  0.042  0.500  0.010  0.000  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  0.508  0.508    0.60  0.0807  0.990  0.508  0.016  0.020  1.000  0.059  0.501  0.012  0.000  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  0.508  0.508    0.60  0.1309  0.990  0.508  0.013  0.023  1.000  0.070  0.501  0.015  0.000  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  0.508  0.508    0.60  0.0675  0.990  0.508  0.040  0.030  1.000  0.091  0.502  0.019  0.000  0.000  0.000  0.000
 6968.6    0  1.3311  0.555E-01  0.508  0.508    0.60  0.0660  0.990  0.508  0.075  0.038  1.000  0.115  0.503  0.024  0.000  0.000  0.000  0.000
 6097.6    0  1.3533  0.119E+00  0.508  0.508    0.60  0.1610  0.990  0.508  0.063  0.050  1.000  0.151  0.504  0.031  0.001  0.000  0.000  0.000
 5154.6    0  1.3366  0.293E-01  0.508  0.508    0.60  0.0620  0.990  0.508  0.263  0.070  1.000  0.210  0.509  0.044  0.002  0.000  0.000  0.000
 4618.9    0  1.3577  0.343E-01  0.508  0.508    0.60  0.0889  0.990  0.508  0.315  0.088  1.000  0.264  0.514  0.054  0.002  0.000  0.000  0.000
 4319.7    0  1.3621  0.267E-01  0.508  0.508    0.60  0.0884  0.990  0.508  0.418  0.101  1.000  0.303  0.518  0.062  0.003  0.000  0.000  0.000
 4016.1    0  1.3799  0.213E-01  0.508  0.508    0.60  0.0984  0.990  0.508  0.543  0.118  1.000  0.353  0.524  0.071  0.004  0.000  0.000  0.000
 3418.8    0  1.4670  0.487E-01  0.508  0.508    0.60  0.2691  0.990  0.508  0.536  0.172  1.000  0.515  0.549  0.097  0.008  0.000  0.000  0.000
 3444.7    0  1.4602  0.438E-01  0.508  0.508    0.60  0.2481  0.990  0.508  0.550  0.168  1.000  0.505  0.547  0.096  0.008  0.000  0.000  0.000
 2777.0    0  1.1248  0.530E-01  0.508  0.508    0.60  0.1869  0.990  0.508  0.123  0.235  1.000  0.705  0.604  0.172  0.022  0.002  0.000  0.000
 2320.2    0  1.2971  0.000E+00  0.508  0.508    0.60  0.2064  0.990  0.508  1.000  0.362  1.000  1.087  0.736  0.246  0.043  0.004  0.000  0.000
 2044.2    0  1.3176  0.000E+00  0.508  0.508    0.60  0.3303  0.990  0.508  1.000  0.481  1.000  1.442  0.923  0.343  0.077  0.010  0.001  0.000
 1778.4    0  1.3291  0.000E+00  0.508  0.508    0.60  0.5158  0.990  0.508  1.000  0.612  1.000  1.837  1.257  0.503  0.142  0.025  0.003  0.000
 1455.2    0  1.3326  0.000E+00  0.508  0.508    0.60  0.9380  0.990  0.508  1.000  0.682  1.000  2.045  1.816  0.872  0.326  0.081  0.014  0.002
 1270.3    0  1.3326  0.000E+00  0.508  0.508    0.60  1.2429  0.990  0.508  1.000  0.703  1.000  2.110  2.219  1.368  0.625  0.193  0.043  0.007
  944.3    0  1.3326  0.000E+00  0.508  0.508    0.60  2.1932  0.990  0.508  1.000  0.800  1.000  2.400  2.992  2.737  1.998  1.039  0.435  0.127
  693.5    0  1.3326  0.000E+00  0.508  0.508    0.60  3.3413  0.990  0.508  1.000  0.845  1.000  2.534  3.514  3.816  3.699  3.158  2.400  1.513
  527.1    0  1.3326  0.000E+00  0.508  0.508    0.60  3.8849  0.990  0.508  1.000  0.844  1.000  2.533  3.643  4.198  4.459  4.425  4.170  3.780
  399.8    0  1.3326  0.000E+00  0.508  0.508    0.60  3.2898  0.990  0.508  1.000  0.800  1.000  2.400  3.436  3.878  4.138  4.272  4.343  4.390
  329.1    0  1.3326  0.000E+00  0.508  0.508    0.60  2.2667  0.990  0.508  1.000  0.691  1.000  2.074  2.858  2.768  2.760  2.580  2.603  2.674
  229.8    0  1.3326  0.000E+00  0.508  0.508    0.60  2.3824  0.990  0.508  1.000  0.726  1.000  2.179  3.348  3.692  4.451  4.948  5.537  6.102
 7082.2    0  1.3270  0.562E-01  0.508  0.508    0.60  0.0654  0.990  0.508  0.069  0.037  1.000  0.111  0.502  0.023  0.000  0.000  0.000  0.000
  300.0   50  1.3797  0.114E-01  0.508  0.761    0.60  2.4690  0.990  0.761  0.757  0.868  1.000  2.603  3.969  4.877  5.896  6.602  7.265  7.726
  400.0   50  1.3797  0.114E-01  0.508  0.761    0.60  2.3395  0.990  0.761  0.778  0.767  1.000  2.300  3.443  3.980  4.839  5.407  6.090  6.665
  440.0   50  1.3797  0.114E-01  0.508  0.761    0.60  1.9070  0.990  0.761  0.763  0.703  1.000  2.108  2.904  2.939  3.419  3.663  3.976  4.318
  500.0   50  1.3797  0.114E-01  0.508  0.761    0.60  2.0303  0.990  0.761  0.783  0.661  1.000  1.983  2.660  2.429  2.465  2.414  2.573  2.755
  550.0   50  1.3797  0.114E-01  0.508  0.761    0.60  2.3067  0.990  0.761  0.822  0.698  1.000  2.093  2.826  2.773  2.816  2.835  2.952  3.156
  600.0   50  1.3797  0.114E-01  0.508  0.761    0.60  2.7232  0.990  0.761  0.862  0.751  1.000  2.253  3.130  3.277  3.469  3.558  3.692  3.888
  675.0   50  1.3797  0.114E-01  0.508  0.761    0.60  3.2947  0.990  0.761  0.897  0.791  1.000  2.374  3.376  3.734  4.024  4.176  4.239  4.373
  800.0   50  1.3797  0.114E-01  0.508  0.761    0.60  3.7178  0.990  0.761  0.926  0.819  1.000  2.456  3.492  3.962  4.204  4.233  4.045  3.799
  870.0   50  1.3797  0.114E-01  0.508  0.761    0.60  3.9302  0.990  0.761  0.932  0.836  1.000  2.509  3.542  4.013  4.210  4.117  3.809  3.307
 1000.0   50  1.3797  0.114E-01  0.508  0.761    0.60  3.7912  0.990  0.761  0.941  0.830  1.000  2.490  3.458  3.808  3.819  3.480  2.840  2.058
 1020.0   50  1.3797  0.114E-01  0.508  0.761    0.60  3.7722  0.990  0.761  0.940  0.831  1.000  2.492  3.457  3.779  3.771  3.380  2.720  1.913
55555.6   50  1.7343  0.386E+00  0.508  0.761    0.60  0.0548  0.990  0.761  0.001  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
23529.4   50  1.7349  0.395E+00  0.508  0.761    0.60  0.1367  0.990  0.761  0.007  0.009  1.000  0.027  0.500  0.005  0.000  0.000  0.000  0.000
17699.1   50  1.7588  0.446E+00  0.508  0.761    0.60  0.2075  0.990  0.761  0.016  0.016  1.000  0.048  0.500  0.008  0.000  0.000  0.000  0.000
15037.6   50  1.5027  0.362E+00  0.508  0.761    0.60  0.2434  0.990  0.761  0.015  0.020  1.000  0.059  0.501  0.011  0.000  0.000  0.000  0.000
13157.9   50  1.5337  0.292E+00  0.508  0.761    0.60  0.2263  0.990  0.761  0.026  0.026  1.000  0.078  0.501  0.015  0.000  0.000  0.000  0.000
11111.1   50  1.5882  0.344E+00  0.508  0.761    0.60  0.3181  0.990  0.761  0.045  0.037  1.000  0.112  0.502  0.020  0.000  0.000  0.000  0.000
 9708.7   50  1.6413  0.508E+00  0.508  0.761    0.60  0.5373  0.990  0.761  0.064  0.049  1.000  0.147  0.504  0.026  0.001  0.000  0.000  0.000
 8849.6   50  1.4307  0.516E+00  0.508  0.761    0.60  0.6707  0.990  0.761  0.055  0.054  1.000  0.161  0.505  0.033  0.001  0.000  0.000  0.000
 7782.1   50  1.2466  0.243E+00  0.508  0.761    0.60  0.3917  0.990  0.761  0.043  0.067  1.000  0.201  0.508  0.044  0.002  0.000  0.000  0.000
 6968.6   50  1.3269  0.172E+00  0.508  0.761    0.60  0.3252  0.990  0.761  0.087  0.087  1.000  0.260  0.513  0.054  0.002  0.000  0.000  0.000
 6097.6   50  1.4180  0.218E+00  0.508  0.761    0.60  0.4970  0.990  0.761  0.147  0.119  1.000  0.358  0.524  0.070  0.004  0.000  0.000  0.000
 5154.6   50  1.3078  0.147E+00  0.508  0.761    0.60  0.4274  0.990  0.761  0.166  0.162  1.000  0.487  0.546  0.103  0.009  0.000  0.000  0.000
 4618.9   50  1.3434  0.122E+00  0.508  0.761    0.60  0.4565  0.990  0.761  0.258  0.208  1.000  0.625  0.574  0.130  0.013  0.001  0.000  0.000
 4319.7   50  1.3490  0.116E+00  0.508  0.761    0.60  0.4972  0.990  0.761  0.299  0.242  1.000  0.726  0.600  0.151  0.018  0.001  0.000  0.000
 4016.1   50  1.3559  0.107E+00  0.508  0.761    0.60  0.5401  0.990  0.761  0.350  0.285  1.000  0.856  0.639  0.179  0.024  0.002  0.000  0.000
 3418.8   50  1.3709  0.124E+00  0.508  0.761    0.60  0.7917  0.990  0.761  0.394  0.417  1.000  1.252  0.796  0.274  0.052  0.006  0.000  0.000
 3444.7   50  1.3700  0.120E+00  0.508  0.761    0.60  0.7685  0.990  0.761  0.397  0.410  1.000  1.229  0.785  0.268  0.050  0.005  0.000  0.000
 2777.0   50  1.1943  0.474E-01  0.508  0.761    0.60  0.3791  0.990  0.761  0.392  0.550  1.000  1.650  1.108  0.480  0.133  0.022  0.002  0.000
 2320.2   50  1.3325  0.980E-03  0.508  0.761    0.60  0.7977  0.990  0.761  0.990  0.676  1.000  2.029  1.649  0.732  0.252  0.057  0.009  0.001
 2044.2   50  1.3546  0.233E-02  0.508  0.761    0.60  1.2431  0.990  0.761  0.983  0.682  1.000  2.045  1.992  1.075  0.446  0.123  0.024  0.003
 1778.4   50  1.3679  0.541E-02  0.508  0.761    0.60  1.7183  0.990  0.761  0.966  0.737  1.000  2.212  2.457  1.801  0.929  0.310  0.079  0.014
 1455.2   50  1.3775  0.919E-02  0.508  0.761    0.60  2.5603  0.990  0.761  0.952  0.788  1.000  2.365  2.916  2.636  1.879  0.955  0.393  0.109
 1270.3   50  1.3797  0.114E-01  0.508  0.761    0.60  3.1141  0.990  0.761  0.942  0.811  1.000  2.433  3.198  3.213  2.758  1.980  1.060  0.368
  944.3   50  1.3797  0.114E-01  0.508  0.761    0.60  3.7885  0.990  0.761  0.938  0.830  1.000  2.491  3.479  3.904  3.941  3.735  3.169  2.477
  693.5   50  1.3797  0.114E-01  0.508  0.761    0.60  3.3097  0.990  0.761  0.902  0.792  1.000  2.376  3.366  3.756  4.040  4.149  4.216  4.243
  527.1   50  1.3797  0.114E-01  0.508  0.761    0.60  2.0384  0.990  0.761  0.807  0.691  1.000  2.074  2.710  2.518  2.608  2.530  2.623  2.805
  399.8   50  1.3797  0.114E-01  0.508  0.761    0.60  2.3422  0.990  0.761  0.778  0.768  1.000  2.303  3.448  3.987  4.844  5.413  6.099  6.673
  329.1   50  1.3797  0.114E-01  0.508  0.761    0.60  2.7307  0.990  0.761  0.793  0.861  1.000  2.583  3.986  4.984  6.108  6.954  7.788  8.460
