 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  2.560  2.560    0.60  2.2543  0.990  2.560  1.000  0.855  1.000  2.564  3.945  4.701  5.496  6.230  6.919  7.715
  400.0    0  1.3326  0.000E+00  2.560  2.560    0.60  1.9321  0.990  2.560  1.000  0.839  1.000  2.516  3.774  4.314  4.862  5.267  5.659  6.165
  440.0    0  1.3326  0.000E+00  2.560  2.560    0.60  2.3609  0.990  2.560  1.000  0.851  1.000  2.552  3.920  4.649  5.395  6.090  6.726  7.458
  500.0    0  1.3326  0.000E+00  2.560  2.560    0.60  2.1016  0.990  2.560  1.000  0.803  1.000  2.409  3.657  4.152  4.737  5.339  5.825  6.427
  550.0    0  1.3326  0.000E+00  2.560  2.560    0.60  2.0311  0.990  2.560  1.000  0.833  1.000  2.500  3.729  4.250  4.737  5.160  5.577  6.106
  600.0    0  1.3326  0.000E+00  2.560  2.560    0.60  2.4285  0.990  2.560  1.000  0.861  1.000  2.582  3.913  4.673  5.390  6.031  6.682  7.437
  675.0    0  1.3326  0.000E+00  2.560  2.560    0.60  2.2695  0.990  2.560  1.000  0.843  1.000  2.530  3.810  4.437  4.994  5.474  5.886  6.445
  800.0    0  1.3326  0.000E+00  2.560  2.560    0.60  1.9693  0.990  2.560  1.000  0.808  1.000  2.425  3.587  3.913  4.307  4.434  4.555  4.611
  870.0    0  1.3326  0.000E+00  2.560  2.560    0.60  2.3436  0.990  2.560  1.000  0.834  1.000  2.502  3.793  4.402  5.077  5.520  5.932  6.301
 1000.0    0  1.3326  0.000E+00  2.560  2.560    0.60  2.7225  0.990  2.560  1.000  0.843  1.000  2.528  3.909  4.698  5.613  6.349  7.081  7.686
 1020.0    0  1.3326  0.000E+00  2.560  2.560    0.60  2.8629  0.990  2.560  1.000  0.809  1.000  2.426  3.801  4.533  5.475  6.197  6.973  7.637
55555.6    0  1.1684  0.258E+00  2.560  2.560    0.60  0.1895  0.990  2.560  0.004  0.014  1.000  0.042  0.500  0.010  0.000  0.000  0.000  0.000
23529.4    0  1.1684  0.258E+00  2.560  2.560    0.60  0.4674  0.990  2.560  0.042  0.082  1.000  0.245  0.512  0.057  0.003  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  2.560  2.560    0.60  0.6295  0.990  2.560  0.082  0.150  1.000  0.451  0.541  0.105  0.009  0.000  0.000  0.000
15037.6    0  1.1684  0.258E+00  2.560  2.560    0.60  0.7403  0.990  2.560  0.112  0.216  1.000  0.649  0.585  0.155  0.018  0.001  0.000  0.000
13157.9    0  1.1684  0.258E+00  2.560  2.560    0.60  0.8397  0.990  2.560  0.139  0.292  1.000  0.877  0.655  0.217  0.034  0.003  0.000  0.000
11111.1    0  1.1796  0.164E+00  2.560  2.560    0.60  0.6913  0.990  2.560  0.174  0.412  1.000  1.235  0.817  0.323  0.069  0.008  0.001  0.000
 9708.7    0  1.3159  0.103E+00  2.560  2.560    0.60  0.8216  0.990  2.560  0.417  0.559  1.000  1.678  1.091  0.443  0.116  0.018  0.002  0.000
 8849.6    0  1.2787  0.149E+00  2.560  2.560    0.60  1.0261  0.990  2.560  0.335  0.630  1.000  1.891  1.345  0.609  0.191  0.036  0.004  0.000
 7782.1    0  1.2991  0.655E-01  2.560  2.560    0.60  0.9495  0.990  2.560  0.565  0.692  1.000  2.076  1.710  0.817  0.293  0.069  0.011  0.001
 6968.6    0  1.3311  0.555E-01  2.560  2.560    0.60  1.2665  0.990  2.560  0.678  0.706  1.000  2.119  2.047  1.132  0.469  0.131  0.025  0.003
 6097.6    0  1.3533  0.119E+00  2.560  2.560    0.60  1.8549  0.990  2.560  0.559  0.768  1.000  2.303  2.575  1.905  0.982  0.354  0.093  0.017
 5154.6    0  1.3366  0.293E-01  2.560  2.560    0.60  2.0099  0.990  2.560  0.838  0.803  1.000  2.408  2.871  2.543  1.650  0.740  0.262  0.067
 4618.9    0  1.3577  0.343E-01  2.560  2.560    0.60  2.5215  0.990  2.560  0.834  0.814  1.000  2.443  3.131  2.979  2.341  1.399  0.642  0.201
 4319.7    0  1.3621  0.267E-01  2.560  2.560    0.60  2.8202  0.990  2.560  0.869  0.822  1.000  2.467  3.243  3.236  2.747  1.907  0.994  0.350
 4016.1    0  1.3799  0.213E-01  2.560  2.560    0.60  3.2481  0.990  2.560  0.900  0.826  1.000  2.478  3.282  3.450  3.070  2.380  1.426  0.609
 3418.8    0  1.4670  0.487E-01  2.560  2.560    0.60  3.5849  0.990  2.560  0.789  0.812  1.000  2.436  3.329  3.708  3.751  3.574  3.004  2.276
 3444.7    0  1.4602  0.438E-01  2.560  2.560    0.60  3.6509  0.990  2.560  0.809  0.812  1.000  2.437  3.331  3.692  3.728  3.516  2.923  2.177
 2777.0    0  1.1248  0.530E-01  2.560  2.560    0.60  1.3698  0.990  2.560  0.521  0.928  1.000  2.785  4.127  4.927  5.199  4.988  4.373  3.499
 2320.2    0  1.2971  0.000E+00  2.560  2.560    0.60  3.8715  0.990  2.560  1.000  0.871  1.000  2.612  3.811  4.534  4.928  5.064  4.983  4.730
 2044.2    0  1.3176  0.000E+00  2.560  2.560    0.60  3.4834  0.990  2.560  1.000  0.831  1.000  2.493  3.597  4.181  4.529  4.715  4.771  4.793
 1778.4    0  1.3291  0.000E+00  2.560  2.560    0.60  2.7758  0.990  2.560  1.000  0.763  1.000  2.290  3.235  3.460  3.566  3.631  3.656  3.772
 1455.2    0  1.3326  0.000E+00  2.560  2.560    0.60  1.7068  0.990  2.560  1.000  0.658  1.000  1.973  2.608  2.170  1.989  1.708  1.539  1.555
 1270.3    0  1.3326  0.000E+00  2.560  2.560    0.60  1.8802  0.990  2.560  1.000  0.711  1.000  2.134  3.041  3.005  3.194  3.320  3.538  3.678
  944.3    0  1.3326  0.000E+00  2.560  2.560    0.60  2.6377  0.990  2.560  1.000  0.837  1.000  2.512  3.889  4.649  5.599  6.287  6.977  7.497
  693.5    0  1.3326  0.000E+00  2.560  2.560    0.60  2.2631  0.990  2.560  1.000  0.801  1.000  2.402  3.633  4.161  4.844  5.150  5.557  5.855
  527.1    0  1.3326  0.000E+00  2.560  2.560    0.60  2.0518  0.990  2.560  1.000  0.765  1.000  2.296  3.477  3.813  4.342  4.908  5.325  5.830
  399.8    0  1.3326  0.000E+00  2.560  2.560    0.60  1.9352  0.990  2.560  1.000  0.835  1.000  2.505  3.761  4.294  4.855  5.259  5.659  6.162
  329.1    0  1.3326  0.000E+00  2.560  2.560    0.60  2.0407  0.990  2.560  1.000  0.828  1.000  2.485  3.769  4.331  4.891  5.529  6.020  6.700
  229.8    0  1.3326  0.000E+00  2.560  2.560    0.60  2.0362  0.990  2.560  1.000  0.865  1.000  2.596  3.946  4.651  5.270  5.870  6.413  7.145
 7082.2    0  1.3270  0.562E-01  2.560  2.560    0.60  1.2155  0.990  2.560  0.666  0.704  1.000  2.113  1.997  1.074  0.435  0.119  0.022  0.003
  300.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.1204  0.990  3.837  0.552  0.958  1.000  2.875  4.661  6.370  8.052  9.720 11.370 12.998
  400.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.1012  0.990  3.837  0.563  0.947  1.000  2.842  4.545  6.123  7.673  9.203 10.718 12.205
  440.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.1640  0.990  3.837  0.583  0.946  1.000  2.838  4.525  6.075  7.596  9.092 10.581 12.045
  500.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.1967  0.990  3.837  0.599  0.941  1.000  2.822  4.475  5.965  7.433  8.867 10.289 11.675
  550.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.1004  0.990  3.837  0.591  0.930  1.000  2.790  4.376  5.762  7.130  8.467  9.792 11.078
  600.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.2304  0.990  3.837  0.624  0.931  1.000  2.794  4.384  5.768  7.133  8.458  9.791 11.092
  675.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.0965  0.990  3.837  0.616  0.917  1.000  2.752  4.257  5.500  6.723  7.872  9.033 10.162
  800.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.2885  0.990  3.837  0.668  0.913  1.000  2.739  4.248  5.481  6.729  7.888  9.038 10.129
  870.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.0962  0.990  3.837  0.651  0.890  1.000  2.670  4.063  5.109  6.196  7.191  8.194  9.111
 1000.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.3424  0.990  3.837  0.703  0.895  1.000  2.686  4.098  5.164  6.249  7.245  8.299  9.324
 1020.0   50  1.3797  0.114E-01  2.560  3.837    0.60  2.3639  0.990  3.837  0.711  0.898  1.000  2.695  4.110  5.188  6.275  7.315  8.378  9.417
55555.6   50  1.7343  0.386E+00  2.560  3.837    0.60  0.3330  0.990  3.837  0.060  0.041  1.000  0.122  0.502  0.020  0.000  0.000  0.000  0.000
23529.4   50  1.7349  0.395E+00  2.560  3.837    0.60  1.4531  0.990  3.837  0.339  0.256  1.000  0.767  0.588  0.119  0.012  0.001  0.000  0.000
17699.1   50  1.7588  0.446E+00  2.560  3.837    0.60  2.3302  0.990  3.837  0.416  0.467  1.000  1.401  0.808  0.266  0.053  0.006  0.000  0.000
