 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  2.032  2.032    0.60  2.1450  0.990  2.032  1.000  0.864  1.000  2.592  3.930  4.635  5.270  5.858  6.406  7.095
  400.0    0  1.3326  0.000E+00  2.032  2.032    0.60  1.9833  0.990  2.032  1.000  0.826  1.000  2.479  3.723  4.232  4.787  5.280  5.725  6.240
  440.0    0  1.3326  0.000E+00  2.032  2.032    0.60  2.1120  0.990  2.032  1.000  0.827  1.000  2.482  3.719  4.244  4.714  5.235  5.668  6.276
  500.0    0  1.3326  0.000E+00  2.032  2.032    0.60  2.5159  0.990  2.032  1.000  0.856  1.000  2.568  3.912  4.678  5.399  6.039  6.654  7.402
  550.0    0  1.3326  0.000E+00  2.032  2.032    0.60  2.3040  0.990  2.032  1.000  0.790  1.000  2.371  3.604  4.108  4.836  5.163  5.618  5.915
  600.0    0  1.3326  0.000E+00  2.032  2.032    0.60  2.0039  0.990  2.032  1.000  0.739  1.000  2.216  3.341  3.522  3.990  4.189  4.363  4.465
  675.0    0  1.3326  0.000E+00  2.032  2.032    0.60  2.2843  0.990  2.032  1.000  0.800  1.000  2.401  3.683  4.205  4.829  5.243  5.541  5.756
  800.0    0  1.3326  0.000E+00  2.032  2.032    0.60  2.8132  0.990  2.032  1.000  0.830  1.000  2.491  3.864  4.625  5.528  6.248  7.006  7.643
  870.0    0  1.3326  0.000E+00  2.032  2.032    0.60  2.5898  0.990  2.032  1.000  0.765  1.000  2.295  3.579  4.109  5.054  5.733  6.445  7.076
 1000.0    0  1.3326  0.000E+00  2.032  2.032    0.60  1.8491  0.990  2.032  1.000  0.713  1.000  2.139  3.057  3.030  3.308  3.468  3.715  3.895
 1020.0    0  1.3326  0.000E+00  2.032  2.032    0.60  1.9346  0.990  2.032  1.000  0.692  1.000  2.075  2.964  2.895  3.019  3.086  3.304  3.438
55555.6    0  1.1684  0.258E+00  2.032  2.032    0.60  0.1496  0.990  2.032  0.002  0.009  1.000  0.027  0.500  0.006  0.000  0.000  0.000  0.000
23529.4    0  1.1684  0.258E+00  2.032  2.032    0.60  0.3655  0.990  2.032  0.023  0.051  1.000  0.152  0.505  0.035  0.001  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  2.032  2.032    0.60  0.4948  0.990  2.032  0.048  0.091  1.000  0.274  0.515  0.063  0.003  0.000  0.000  0.000
15037.6    0  1.1684  0.258E+00  2.032  2.032    0.60  0.5870  0.990  2.032  0.070  0.130  1.000  0.389  0.531  0.090  0.007  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  2.032  2.032    0.60  0.6726  0.990  2.032  0.093  0.174  1.000  0.522  0.555  0.123  0.012  0.001  0.000  0.000
11111.1    0  1.1796  0.164E+00  2.032  2.032    0.60  0.5394  0.990  2.032  0.125  0.249  1.000  0.747  0.613  0.177  0.024  0.002  0.000  0.000
 9708.7    0  1.3159  0.103E+00  2.032  2.032    0.60  0.5699  0.990  2.032  0.347  0.350  1.000  1.049  0.712  0.232  0.039  0.004  0.000  0.000
 8849.6    0  1.2787  0.149E+00  2.032  2.032    0.60  0.7610  0.990  2.032  0.275  0.427  1.000  1.281  0.827  0.310  0.064  0.008  0.001  0.000
 7782.1    0  1.2991  0.655E-01  2.032  2.032    0.60  0.6212  0.990  2.032  0.491  0.539  1.000  1.618  1.047  0.418  0.106  0.016  0.002  0.000
 6968.6    0  1.3311  0.555E-01  2.032  2.032    0.60  0.8194  0.990  2.032  0.606  0.637  1.000  1.912  1.346  0.565  0.170  0.031  0.004  0.000
 6097.6    0  1.3533  0.119E+00  2.032  2.032    0.60  1.3984  0.990  2.032  0.504  0.695  1.000  2.085  1.796  0.903  0.341  0.083  0.013  0.002
 5154.6    0  1.3366  0.293E-01  2.032  2.032    0.60  1.3497  0.990  2.032  0.815  0.713  1.000  2.140  2.233  1.378  0.624  0.192  0.042  0.007
 4618.9    0  1.3577  0.343E-01  2.032  2.032    0.60  1.8095  0.990  2.032  0.814  0.765  1.000  2.295  2.592  2.009  1.079  0.388  0.106  0.021
 4319.7    0  1.3621  0.267E-01  2.032  2.032    0.60  2.0653  0.990  2.032  0.858  0.787  1.000  2.360  2.737  2.321  1.386  0.554  0.175  0.040
 4016.1    0  1.3799  0.213E-01  2.032  2.032    0.60  2.4699  0.990  2.032  0.895  0.792  1.000  2.375  2.865  2.563  1.735  0.819  0.312  0.082
 3418.8    0  1.4670  0.487E-01  2.032  2.032    0.60  3.5593  0.990  2.032  0.817  0.806  1.000  2.419  3.139  3.252  2.832  2.128  1.166  0.430
 3444.7    0  1.4602  0.438E-01  2.032  2.032    0.60  3.5517  0.990  2.032  0.831  0.805  1.000  2.416  3.134  3.223  2.789  2.071  1.114  0.394
 2777.0    0  1.1248  0.530E-01  2.032  2.032    0.60  1.0622  0.990  2.032  0.471  0.899  1.000  2.698  3.796  4.192  3.944  3.237  2.217  1.223
 2320.2    0  1.2971  0.000E+00  2.032  2.032    0.60  3.4880  0.990  2.032  1.000  0.869  1.000  2.608  3.737  4.307  4.430  4.248  3.715  3.011
 2044.2    0  1.3176  0.000E+00  2.032  2.032    0.60  3.8615  0.990  2.032  1.000  0.854  1.000  2.561  3.715  4.318  4.603  4.619  4.375  4.027
 1778.4    0  1.3291  0.000E+00  2.032  2.032    0.60  3.7431  0.990  2.032  1.000  0.830  1.000  2.491  3.618  4.167  4.503  4.631  4.630  4.567
 1455.2    0  1.3326  0.000E+00  2.032  2.032    0.60  2.7579  0.990  2.032  1.000  0.757  1.000  2.271  3.195  3.435  3.601  3.641  3.700  3.843
 1270.3    0  1.3326  0.000E+00  2.032  2.032    0.60  2.1099  0.990  2.032  1.000  0.707  1.000  2.121  2.878  2.725  2.607  2.474  2.352  2.426
  944.3    0  1.3326  0.000E+00  2.032  2.032    0.60  2.1406  0.990  2.032  1.000  0.757  1.000  2.272  3.379  3.657  4.163  4.558  5.023  5.377
  693.5    0  1.3326  0.000E+00  2.032  2.032    0.60  2.4467  0.990  2.032  1.000  0.818  1.000  2.454  3.752  4.341  5.072  5.555  6.036  6.433
  527.1    0  1.3326  0.000E+00  2.032  2.032    0.60  2.3680  0.990  2.032  1.000  0.858  1.000  2.573  3.874  4.567  5.187  5.743  6.267  6.905
  399.8    0  1.3326  0.000E+00  2.032  2.032    0.60  1.9849  0.990  2.032  1.000  0.825  1.000  2.474  3.717  4.222  4.786  5.280  5.732  6.247
  329.1    0  1.3326  0.000E+00  2.032  2.032    0.60  2.0655  0.990  2.032  1.000  0.814  1.000  2.442  3.720  4.264  4.872  5.433  5.883  6.445
  229.8    0  1.3326  0.000E+00  2.032  2.032    0.60  2.2545  0.990  2.032  1.000  0.854  1.000  2.561  3.937  4.677  5.405  6.161  6.809  7.617
 7082.2    0  1.3270  0.562E-01  2.032  2.032    0.60  0.7823  0.990  2.032  0.593  0.626  1.000  1.877  1.298  0.541  0.159  0.028  0.003  0.000
  300.0   50  1.3797  0.114E-01  2.032  3.046    0.60  2.1486  0.990  3.046  0.569  0.952  1.000  2.855  4.588  6.211  7.806  9.382 10.943 12.478
