 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  1.280  1.280    0.60  2.4285  0.990  1.280  1.000  0.861  1.000  2.582  3.913  4.673  5.390  6.031  6.682  7.437
  400.0    0  1.3326  0.000E+00  1.280  1.280    0.60  1.9693  0.990  1.280  1.000  0.808  1.000  2.425  3.587  3.913  4.307  4.434  4.555  4.611
  440.0    0  1.3326  0.000E+00  1.280  1.280    0.60  2.5191  0.990  1.280  1.000  0.802  1.000  2.407  3.723  4.335  5.163  5.693  6.215  6.588
  500.0    0  1.3326  0.000E+00  1.280  1.280    0.60  2.7225  0.990  1.280  1.000  0.843  1.000  2.528  3.909  4.698  5.613  6.349  7.081  7.686
  550.0    0  1.3326  0.000E+00  1.280  1.280    0.60  2.5081  0.990  1.280  1.000  0.776  1.000  2.328  3.604  4.139  5.067  5.744  6.452  7.044
  600.0    0  1.3326  0.000E+00  1.280  1.280    0.60  2.1783  0.990  1.280  1.000  0.741  1.000  2.224  3.311  3.548  4.011  4.342  4.821  5.147
  675.0    0  1.3326  0.000E+00  1.280  1.280    0.60  1.6823  0.990  1.280  1.000  0.666  1.000  1.997  2.726  2.367  2.363  2.196  2.212  2.213
  800.0    0  1.3326  0.000E+00  1.280  1.280    0.60  2.1066  0.990  1.280  1.000  0.707  1.000  2.120  2.877  2.723  2.603  2.470  2.347  2.422
  870.0    0  1.3326  0.000E+00  1.280  1.280    0.60  2.5161  0.990  1.280  1.000  0.755  1.000  2.265  3.142  3.259  3.343  3.331  3.334  3.441
 1000.0    0  1.3326  0.000E+00  1.280  1.280    0.60  3.2913  0.990  1.280  1.000  0.798  1.000  2.395  3.436  3.862  4.116  4.248  4.321  4.377
 1020.0    0  1.3326  0.000E+00  1.280  1.280    0.60  3.3017  0.990  1.280  1.000  0.805  1.000  2.415  3.450  3.921  4.200  4.343  4.406  4.451
55555.6    0  1.1684  0.258E+00  1.280  1.280    0.60  0.0937  0.990  1.280  0.001  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
23529.4    0  1.1684  0.258E+00  1.280  1.280    0.60  0.2249  0.990  1.280  0.006  0.020  1.000  0.059  0.501  0.014  0.000  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  1.280  1.280    0.60  0.3029  0.990  1.280  0.014  0.035  1.000  0.105  0.502  0.024  0.000  0.000  0.000  0.000
15037.6    0  1.1684  0.258E+00  1.280  1.280    0.60  0.3600  0.990  1.280  0.022  0.049  1.000  0.147  0.504  0.034  0.001  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  1.280  1.280    0.60  0.4149  0.990  1.280  0.032  0.065  1.000  0.194  0.508  0.045  0.002  0.000  0.000  0.000
11111.1    0  1.1796  0.164E+00  1.280  1.280    0.60  0.3201  0.990  1.280  0.047  0.092  1.000  0.276  0.516  0.063  0.003  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  1.280  1.280    0.60  0.2698  0.990  1.280  0.172  0.127  1.000  0.381  0.528  0.080  0.005  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  1.280  1.280    0.60  0.4086  0.990  1.280  0.139  0.154  1.000  0.461  0.542  0.099  0.008  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  1.280  1.280    0.60  0.2727  0.990  1.280  0.315  0.200  1.000  0.600  0.571  0.128  0.013  0.001  0.000  0.000
 6968.6    0  1.3311  0.555E-01  1.280  1.280    0.60  0.3304  0.990  1.280  0.448  0.257  1.000  0.772  0.615  0.163  0.021  0.001  0.000  0.000
 6097.6    0  1.3533  0.119E+00  1.280  1.280    0.60  0.6790  0.990  1.280  0.364  0.361  1.000  1.084  0.723  0.234  0.039  0.004  0.000  0.000
 5154.6    0  1.3366  0.293E-01  1.280  1.280    0.60  0.4980  0.990  1.280  0.711  0.494  1.000  1.481  0.940  0.349  0.079  0.011  0.001  0.000
 4618.9    0  1.3577  0.343E-01  1.280  1.280    0.60  0.7286  0.990  1.280  0.725  0.603  1.000  1.809  1.206  0.475  0.130  0.022  0.002  0.000
 4319.7    0  1.3621  0.267E-01  1.280  1.280    0.60  0.8381  0.990  1.280  0.790  0.647  1.000  1.940  1.386  0.566  0.171  0.032  0.004  0.000
 4016.1    0  1.3799  0.213E-01  1.280  1.280    0.60  1.0774  0.990  1.280  0.851  0.668  1.000  2.005  1.580  0.681  0.228  0.049  0.007  0.001
 3418.8    0  1.4670  0.487E-01  1.280  1.280    0.60  2.1068  0.990  1.280  0.803  0.687  1.000  2.062  2.073  1.273  0.568  0.156  0.031  0.004
 3444.7    0  1.4602  0.438E-01  1.280  1.280    0.60  2.0338  0.990  1.280  0.817  0.682  1.000  2.046  2.035  1.217  0.535  0.145  0.028  0.004
 2777.0    0  1.1248  0.530E-01  1.280  1.280    0.60  0.6067  0.990  1.280  0.353  0.791  1.000  2.373  2.745  2.082  1.131  0.466  0.145  0.033
 2320.2    0  1.2971  0.000E+00  1.280  1.280    0.60  1.8848  0.990  1.280  1.000  0.813  1.000  2.439  3.075  2.858  2.138  1.154  0.494  0.151
 2044.2    0  1.3176  0.000E+00  1.280  1.280    0.60  2.5924  0.990  1.280  1.000  0.828  1.000  2.484  3.308  3.365  2.925  2.135  1.195  0.459
 1778.4    0  1.3291  0.000E+00  1.280  1.280    0.60  3.2225  0.990  1.280  1.000  0.845  1.000  2.534  3.494  3.782  3.609  3.029  2.226  1.322
 1455.2    0  1.3326  0.000E+00  1.280  1.280    0.60  3.8648  0.990  1.280  1.000  0.854  1.000  2.561  3.655  4.180  4.329  4.189  3.755  3.137
 1270.3    0  1.3326  0.000E+00  1.280  1.280    0.60  3.9430  0.990  1.280  1.000  0.844  1.000  2.531  3.667  4.236  4.517  4.585  4.380  4.130
  944.3    0  1.3326  0.000E+00  1.280  1.280    0.60  2.9228  0.990  1.280  1.000  0.785  1.000  2.355  3.335  3.652  3.914  3.989  4.071  4.220
  693.5    0  1.3326  0.000E+00  1.280  1.280    0.60  1.8480  0.990  1.280  1.000  0.650  1.000  1.949  2.682  2.366  2.227  2.015  2.048  1.988
  527.1    0  1.3326  0.000E+00  1.280  1.280    0.60  2.6284  0.990  1.280  1.000  0.827  1.000  2.482  3.827  4.534  5.418  6.117  6.862  7.414
  399.8    0  1.3326  0.000E+00  1.280  1.280    0.60  1.9585  0.990  1.280  1.000  0.811  1.000  2.432  3.592  3.920  4.307  4.425  4.535  4.588
  329.1    0  1.3326  0.000E+00  1.280  1.280    0.60  2.3824  0.990  1.280  1.000  0.847  1.000  2.540  3.842  4.525  5.244  5.756  6.330  6.932
  229.8    0  1.3326  0.000E+00  1.280  1.280    0.60  2.4047  0.990  1.280  1.000  0.862  1.000  2.586  3.967  4.756  5.518  6.242  6.899  7.684
 7082.2    0  1.3270  0.562E-01  1.280  1.280    0.60  0.3184  0.990  1.280  0.432  0.248  1.000  0.744  0.607  0.157  0.019  0.001  0.000  0.000
  300.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.2304  0.990  1.919  0.624  0.931  1.000  2.794  4.384  5.768  7.133  8.458  9.791 11.092
  400.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.2885  0.990  1.919  0.668  0.913  1.000  2.739  4.248  5.481  6.729  7.888  9.038 10.129
  440.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.1021  0.990  1.919  0.652  0.890  1.000  2.670  4.057  5.085  6.145  7.114  8.092  8.996
  500.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.3424  0.990  1.919  0.703  0.895  1.000  2.686  4.098  5.164  6.249  7.245  8.299  9.324
  550.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.4149  0.990  1.919  0.726  0.897  1.000  2.691  4.098  5.138  6.194  7.150  8.160  9.129
  600.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.1945  0.990  1.919  0.708  0.878  1.000  2.634  3.928  4.791  5.612  6.279  6.964  7.627
  675.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.0912  0.990  1.919  0.702  0.851  1.000  2.554  3.759  4.464  5.206  5.642  6.051  6.377
  800.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.6447  0.990  1.919  0.780  0.867  1.000  2.600  4.008  4.968  6.106  6.927  7.726  8.286
  870.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.7251  0.990  1.919  0.800  0.853  1.000  2.560  3.952  4.884  5.983  6.818  7.714  8.351
 1000.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.3701  0.990  1.919  0.783  0.779  1.000  2.338  3.505  4.080  4.910  5.515  6.224  6.773
 1020.0   50  1.3797  0.114E-01  1.280  1.919    0.60  2.2280  0.990  1.919  0.775  0.756  1.000  2.269  3.356  3.811  4.696  5.235  5.867  6.398
55555.6   50  1.7343  0.386E+00  1.280  1.919    0.60  0.1436  0.990  1.919  0.009  0.010  1.000  0.031  0.500  0.005  0.000  0.000  0.000  0.000
23529.4   50  1.7349  0.395E+00  1.280  1.919    0.60  0.4329  0.990  1.919  0.091  0.057  1.000  0.170  0.505  0.028  0.001  0.000  0.000  0.000
17699.1   50  1.7588  0.446E+00  1.280  1.919    0.60  0.7664  0.990  1.919  0.174  0.102  1.000  0.307  0.515  0.049  0.002  0.000  0.000  0.000
15037.6   50  1.5027  0.362E+00  1.280  1.919    0.60  0.8130  0.990  1.919  0.160  0.130  1.000  0.389  0.527  0.073  0.004  0.000  0.000  0.000
