 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.8479  0.990  0.101  1.000  0.679  1.000  2.037  1.712  0.781  0.277  0.065  0.010  0.001
  400.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.3763  0.990  0.101  1.000  0.499  1.000  1.497  0.956  0.355  0.082  0.011  0.001  0.000
  440.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.2933  0.990  0.101  1.000  0.409  1.000  1.226  0.797  0.274  0.053  0.006  0.000  0.000
  500.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.2051  0.990  0.101  1.000  0.308  1.000  0.923  0.667  0.198  0.030  0.003  0.000  0.000
  550.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.1530  0.990  0.101  1.000  0.250  1.000  0.749  0.610  0.158  0.020  0.001  0.000  0.000
  600.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.1149  0.990  0.101  1.000  0.207  1.000  0.621  0.575  0.130  0.013  0.001  0.000  0.000
  675.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.0762  0.990  0.101  1.000  0.162  1.000  0.485  0.546  0.101  0.008  0.000  0.000  0.000
  800.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.0408  0.990  0.101  1.000  0.114  1.000  0.343  0.523  0.071  0.004  0.000  0.000  0.000
  870.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.0297  0.990  0.101  1.000  0.096  1.000  0.289  0.516  0.060  0.003  0.000  0.000  0.000
 1000.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.0174  0.990  0.101  1.000  0.073  1.000  0.219  0.509  0.045  0.002  0.000  0.000  0.000
 1020.0    0  1.3326  0.000E+00  0.101  0.101    0.60  0.0161  0.990  0.101  1.000  0.070  1.000  0.210  0.509  0.044  0.002  0.000  0.000  0.000
55555.6    0  1.1684  0.258E+00  0.101  0.101    0.60  0.0073  0.990  0.101  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
23529.4    0  1.1684  0.258E+00  0.101  0.101    0.60  0.0173  0.990  0.101  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000 -0.000
17699.1    0  1.1684  0.258E+00  0.101  0.101    0.60  0.0231  0.990  0.101  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
15037.6    0  1.1684  0.258E+00  0.101  0.101    0.60  0.0271  0.990  0.101  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
13157.9    0  1.1684  0.258E+00  0.101  0.101    0.60  0.0310  0.990  0.101  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
11111.1    0  1.1796  0.164E+00  0.101  0.101    0.60  0.0230  0.990  0.101  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  0.101  0.101    0.60  0.0152  0.990  0.101  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000 -0.000
 8849.6    0  1.2787  0.149E+00  0.101  0.101    0.60  0.0248  0.990  0.101  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  0.101  0.101    0.60  0.0123  0.990  0.101  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
 6968.6    0  1.3311  0.555E-01  0.101  0.101    0.60  0.0114  0.990  0.101  0.001  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000  0.000
 6097.6    0  1.3533  0.119E+00  0.101  0.101    0.60  0.0276  0.990  0.101  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
