,w(nm),Rdry_um,RH_%,wp_%,Rwet_um,N,iK
0,300.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
1,300.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
2,300.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
3,300.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
4,300.0,0.00039422487000000003,90.0,17.952167849327296,0.0008110799968388183,1.42001,0.013669999999999998
5,300.0,0.00039422487000000003,95.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
6,300.0,0.00039422487000000003,99.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
7,400.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
8,400.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
9,400.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
10,400.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
11,400.0,0.00039422487000000003,90.0,17.952167849327296,0.0008110799968388183,1.42001,0.013669999999999998
12,400.0,0.00039422487000000003,95.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
13,400.0,0.00039422487000000003,99.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
14,440.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
15,440.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
16,440.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
17,440.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
18,440.0,0.00039422487000000003,90.0,17.952167849327296,0.0008110799968388183,1.42001,0.013669999999999998
19,440.0,0.00039422487000000003,95.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
20,440.0,0.00039422487000000003,99.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
21,500.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
22,500.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
23,500.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
24,500.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
25,500.0,0.00039422487000000003,90.0,17.952167849327296,0.0008110799968388183,1.42001,0.013669999999999998
26,500.0,0.00039422487000000003,95.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
27,500.0,0.00039422487000000003,99.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
28,550.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
29,550.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
30,550.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
31,550.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
32,550.0,0.00039422487000000003,90.0,17.952167849327296,0.0008110799968388183,1.42001,0.013669999999999998
33,550.0,0.00039422487000000003,95.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
34,550.0,0.00039422487000000003,99.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
35,600.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
36,600.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
37,600.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
38,600.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
39,600.0,0.00039422487000000003,90.0,17.952167849327296,0.0008110799968388183,1.42001,0.013669999999999998
40,600.0,0.00039422487000000003,95.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
41,600.0,0.00039422487000000003,99.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
42,675.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
43,675.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
44,675.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
45,675.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
46,675.0,0.00039422487000000003,90.0,17.952167849327296,0.0008110799968388183,1.42001,0.013669999999999998
47,675.0,0.00039422487000000003,95.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
48,675.0,0.00039422487000000003,99.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
49,800.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
50,800.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
51,800.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
52,800.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
53,800.0,0.00039422487000000003,90.0,17.952167849327296,0.0008110799968388183,1.42001,0.013669999999999998
54,800.0,0.00039422487000000003,95.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
55,800.0,0.00039422487000000003,99.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
56,870.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
57,870.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
58,870.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
59,870.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
60,870.0,0.00039422487000000003,90.0,17.952167849327296,0.0008110799968388183,1.42001,0.013669999999999998
61,870.0,0.00039422487000000003,95.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
62,870.0,0.00039422487000000003,99.0,15.0,0.0008676498096584677,1.42001,0.013669999999999998
63,1000.0,0.00039422487000000003,0.0,99.0,0.00039422487000000003,1.33259,0.0
64,1000.0,0.00039422487000000003,50.0,39.84258087455865,0.000590875312544603,1.37965,0.01137
65,1000.0,0.00039422487000000003,70.0,30.549615354778165,0.0006591782353036062,1.4179,0.01732
66,1000.0,0.00039422487000000003,80.0,25.469146223621202,0.0007086883539724447,1.42001,0.013669999999999998
