wavelength
300.0
400.0
440.0
500.0
550.0
600.0
675.0
800.0
870.0
1000.0
1020.0
55555.6
23529.4
17699.1
15037.6
13157.9
11111.1
9708.7
8849.6
7782.1
6968.6
6097.6
5154.6
4618.9
4319.7
4016.1
3418.8
3444.7
2777.0
2320.2
2044.2
1778.4
1455.2
1270.3
944.3
693.5
527.1
399.8
329.1
229.8
7082.2
