,Rdry_um,RH_%,wp_%,Rwet_um
0,0.00039422487,0.0,99.0,0.00039422487
1,0.00039422487,50.0,39.84258087455865,0.000590875312544603
2,0.00039422487,70.0,30.549615354778165,0.0006591782353036062
3,0.00039422487,80.0,25.4691462236212,0.0007086883539724447
4,0.00039422487,90.0,17.952167849327296,0.0008110799968388184
5,0.00039422487,95.0,15.0,0.0008676498096584678
6,0.00039422487,99.0,15.0,0.0008676498096584678
7,0.0004961,0.0,99.0,0.0004961
8,0.0004961,50.0,39.84258087455865,0.0007435686199944148
9,0.0004961,70.0,30.549615354778165,0.0008295223041968891
10,0.0004961,80.0,25.4691462236212,0.0008918267698477011
11,0.0004961,90.0,17.952167849327296,0.0010206783413530909
12,0.0004961,95.0,15.0,0.0010918668590633714
13,0.0004961,99.0,15.0,0.0010918668590633714
14,0.0006251,0.0,99.0,0.0006251
15,0.0006251,50.0,39.84258087455865,0.0009369174447863508
16,0.0006251,70.0,30.549615354778165,0.0010452215125044857
17,0.0006251,80.0,25.4691462236212,0.0011237268974638136
18,0.0006251,90.0,17.952167849327296,0.0012860835137670167
19,0.0006251,95.0,15.0,0.001375783055030263
20,0.0006251,99.0,15.0,0.001375783055030263
21,0.0007875,0.0,99.0,0.0007875
22,0.0007875,50.0,39.84258087455865,0.0011803271280903078
23,0.0007875,70.0,30.549615354778165,0.0013167684228080029
24,0.0007875,80.0,25.4691462236212,0.0014156693837030128
25,0.0007875,90.0,17.952167849327296,0.0016202059943873394
26,0.0007875,95.0,15.0,0.0017332093358443962
27,0.0007875,99.0,15.0,0.0017332093358443962
28,0.0009922,0.0,99.0,0.0009922
29,0.0009922,50.0,39.84258087455865,0.0014871372399888295
30,0.0009922,70.0,30.549615354778165,0.0016590446083937782
31,0.0009922,80.0,25.4691462236212,0.0017836535396954021
32,0.0009922,90.0,17.952167849327296,0.0020413566827061818
33,0.0009922,95.0,15.0,0.0021837337181267427
34,0.0009922,99.0,15.0,0.0021837337181267427
35,0.0012501,0.0,99.0,0.0012501
36,0.0012501,50.0,39.84258087455865,0.0018736850067627856
37,0.0012501,70.0,30.549615354778165,0.002090275816320361
38,0.0012501,80.0,25.4691462236212,0.00224727402738684
39,0.0012501,90.0,17.952167849327296,0.0025719612870903023
40,0.0012501,95.0,15.0,0.002751346019986133
41,0.0012501,99.0,15.0,0.002751346019986133
42,0.001575,0.0,99.0,0.001575
43,0.001575,50.0,39.84258087455865,0.002360654256180615
44,0.001575,70.0,30.549615354778165,0.0026335368456160057
45,0.001575,80.0,25.4691462236212,0.0028313387674060255
46,0.001575,90.0,17.952167849327296,0.003240411988774679
47,0.001575,95.0,15.0,0.0034664186716887925
48,0.001575,99.0,15.0,0.0034664186716887925
49,0.0019844,0.0,99.0,0.0019844
50,0.0019844,50.0,39.84258087455865,0.002974274479977659
51,0.0019844,70.0,30.549615354778165,0.003318089216787556
52,0.0019844,80.0,25.4691462236212,0.0035673070793908043
53,0.0019844,90.0,17.952167849327296,0.004082713365412363
54,0.0019844,95.0,15.0,0.004367467436253485
55,0.0019844,99.0,15.0,0.004367467436253485
56,0.0025002,0.0,99.0,0.0025002
57,0.0025002,50.0,39.84258087455865,0.003747370013525571
58,0.0025002,70.0,30.549615354778165,0.004180551632640722
59,0.0025002,80.0,25.4691462236212,0.00449454805477368
60,0.0025002,90.0,17.952167849327296,0.0051439225741806045
61,0.0025002,95.0,15.0,0.005502692039972266
62,0.0025002,99.0,15.0,0.005502692039972266
63,0.0031501,0.0,99.0,0.0031501
64,0.0031501,50.0,39.84258087455865,0.004721458395171146
65,0.0031501,70.0,30.549615354778165,0.005267240899920622
66,0.0031501,80.0,25.4691462236212,0.005662857302352838
67,0.0031501,90.0,17.952167849327296,0.006481029717993089
68,0.0031501,95.0,15.0,0.006933057433451977
69,0.0031501,99.0,15.0,0.006933057433451977
70,0.0039689,0.0,99.0,0.0039689
71,0.0039689,50.0,39.84258087455865,0.005948698842765234
72,0.0039689,70.0,30.549615354778165,0.006636345642263723
73,0.0039689,80.0,25.4691462236212,0.007134793926322396
74,0.0039689,90.0,17.952167849327296,0.008165632471268457
75,0.0039689,95.0,15.0,0.008735154962581362
76,0.0039689,99.0,15.0,0.008735154962581362
77,0.0050004,0.0,99.0,0.0050004
78,0.0050004,50.0,39.84258087455865,0.007494740027051142
79,0.0050004,70.0,30.549615354778165,0.008361103265281444
80,0.0050004,80.0,25.4691462236212,0.00898909610954736
81,0.0050004,90.0,17.952167849327296,0.010287845148361209
82,0.0050004,95.0,15.0,0.011005384079944532
83,0.0050004,99.0,15.0,0.011005384079944532
84,0.0063002,0.0,99.0,0.0063002
85,0.0063002,50.0,39.84258087455865,0.009442916790342292
86,0.0063002,70.0,30.549615354778165,0.010534481799841242
87,0.0063002,80.0,25.4691462236212,0.011325714604705675
88,0.0063002,90.0,17.952167849327296,0.012962059435986176
89,0.0063002,95.0,15.0,0.013866114866903954
90,0.0063002,99.0,15.0,0.013866114866903954
91,0.0079377,0.0,99.0,0.0079377
92,0.0079377,50.0,39.84258087455865,0.011897247802720553
93,0.0079377,70.0,30.549615354778165,0.013272524075838836
94,0.0079377,80.0,25.4691462236212,0.014269408085104004
95,0.0079377,90.0,17.952167849327296,0.016331059202093184
96,0.0079377,95.0,15.0,0.017470089835088336
97,0.0079377,99.0,15.0,0.017470089835088336
98,0.0100009,0.0,99.0,0.0100009
99,0.0100009,50.0,39.84258087455865,0.014989629936912198
100,0.0100009,70.0,30.549615354778165,0.016722373739251496
