 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.320  0.320    0.60  3.8994  0.990  0.320  1.000  0.846  1.000  2.537  3.653  4.256  4.590  4.705  4.622  4.426
  400.0    0  1.3326  0.000E+00  0.320  0.320    0.60  3.6231  0.990  0.320  1.000  0.844  1.000  2.532  3.561  3.981  4.008  3.688  3.047  2.276
  440.0    0  1.3326  0.000E+00  0.320  0.320    0.60  3.3093  0.990  0.320  1.000  0.844  1.000  2.532  3.505  3.799  3.662  3.106  2.333  1.440
  500.0    0  1.3326  0.000E+00  0.320  0.320    0.60  2.8730  0.990  0.320  1.000  0.827  1.000  2.482  3.307  3.431  3.026  2.297  1.347  0.545
  550.0    0  1.3326  0.000E+00  0.320  0.320    0.60  2.4624  0.990  0.320  1.000  0.810  1.000  2.431  3.177  3.053  2.499  1.596  0.790  0.262
  600.0    0  1.3326  0.000E+00  0.320  0.320    0.60  2.1668  0.990  0.320  1.000  0.799  1.000  2.398  2.971  2.707  1.948  0.991  0.406  0.116
  675.0    0  1.3326  0.000E+00  0.320  0.320    0.60  1.7532  0.990  0.320  1.000  0.781  1.000  2.342  2.722  2.285  1.359  0.534  0.166  0.038
  800.0    0  1.3326  0.000E+00  0.320  0.320    0.60  1.2435  0.990  0.320  1.000  0.704  1.000  2.111  2.220  1.369  0.626  0.193  0.043  0.007
  870.0    0  1.3326  0.000E+00  0.320  0.320    0.60  1.0591  0.990  0.320  1.000  0.685  1.000  2.056  1.962  1.025  0.413  0.112  0.021  0.003
 1000.0    0  1.3326  0.000E+00  0.320  0.320    0.60  0.7373  0.990  0.320  1.000  0.671  1.000  2.013  1.579  0.683  0.227  0.049  0.007  0.001
 1020.0    0  1.3326  0.000E+00  0.320  0.320    0.60  0.6952  0.990  0.320  1.000  0.665  1.000  1.995  1.523  0.648  0.209  0.043  0.006  0.001
55555.6    0  1.1684  0.258E+00  0.320  0.320    0.60  0.0233  0.990  0.320  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000 -0.000 -0.000
23529.4    0  1.1684  0.258E+00  0.320  0.320    0.60  0.0551  0.990  0.320  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  0.320  0.320    0.60  0.0734  0.990  0.320  0.000  0.002  1.000  0.007  0.500  0.002  0.000  0.000  0.000 -0.000
15037.6    0  1.1684  0.258E+00  0.320  0.320    0.60  0.0865  0.990  0.320  0.000  0.003  1.000  0.009  0.500  0.002  0.000  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  0.320  0.320    0.60  0.0989  0.990  0.320  0.001  0.004  1.000  0.012  0.500  0.003  0.000  0.000  0.000  0.000
11111.1    0  1.1796  0.164E+00  0.320  0.320    0.60  0.0736  0.990  0.320  0.001  0.006  1.000  0.017  0.500  0.004  0.000  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  0.320  0.320    0.60  0.0492  0.990  0.320  0.004  0.008  1.000  0.023  0.500  0.005  0.000  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  0.320  0.320    0.60  0.0801  0.990  0.320  0.003  0.009  1.000  0.028  0.500  0.006  0.000  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  0.320  0.320    0.60  0.0401  0.990  0.320  0.011  0.012  1.000  0.036  0.500  0.008  0.000  0.000  0.000  0.000
 6968.6    0  1.3311  0.555E-01  0.320  0.320    0.60  0.0378  0.990  0.320  0.021  0.015  1.000  0.046  0.500  0.010  0.000  0.000  0.000  0.000
 6097.6    0  1.3533  0.119E+00  0.320  0.320    0.60  0.0923  0.990  0.320  0.018  0.020  1.000  0.060  0.501  0.012  0.000  0.000  0.000  0.000
 5154.6    0  1.3366  0.293E-01  0.320  0.320    0.60  0.0296  0.990  0.320  0.090  0.028  1.000  0.083  0.501  0.017  0.000  0.000  0.000  0.000
 4618.9    0  1.3577  0.343E-01  0.320  0.320    0.60  0.0399  0.990  0.320  0.115  0.035  1.000  0.105  0.502  0.022  0.000  0.000  0.000  0.000
 4319.7    0  1.3621  0.267E-01  0.320  0.320    0.60  0.0357  0.990  0.320  0.171  0.040  1.000  0.120  0.503  0.025  0.001  0.000  0.000  0.000
 4016.1    0  1.3799  0.213E-01  0.320  0.320    0.60  0.0343  0.990  0.320  0.259  0.047  1.000  0.140  0.504  0.028  0.001  0.000  0.000  0.000
 3418.8    0  1.4670  0.487E-01  0.320  0.320    0.60  0.0927  0.990  0.320  0.266  0.067  1.000  0.200  0.507  0.038  0.001  0.000  0.000  0.000
 3444.7    0  1.4602  0.438E-01  0.320  0.320    0.60  0.0842  0.990  0.320  0.277  0.065  1.000  0.196  0.507  0.038  0.001  0.000  0.000  0.000
