 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.160  0.160    0.60  2.1668  0.990  0.160  1.000  0.799  1.000  2.398  2.971  2.707  1.948  0.991  0.406  0.116
  400.0    0  1.3326  0.000E+00  0.160  0.160    0.60  1.2435  0.990  0.160  1.000  0.704  1.000  2.111  2.220  1.369  0.626  0.193  0.043  0.007
  440.0    0  1.3326  0.000E+00  0.160  0.160    0.60  1.0331  0.990  0.160  1.000  0.684  1.000  2.052  1.929  0.988  0.392  0.105  0.019  0.003
  500.0    0  1.3326  0.000E+00  0.160  0.160    0.60  0.7373  0.990  0.160  1.000  0.671  1.000  2.013  1.579  0.683  0.227  0.049  0.007  0.001
  550.0    0  1.3326  0.000E+00  0.160  0.160    0.60  0.5561  0.990  0.160  1.000  0.626  1.000  1.879  1.309  0.529  0.154  0.028  0.003  0.000
  600.0    0  1.3326  0.000E+00  0.160  0.160    0.60  0.4367  0.990  0.160  1.000  0.554  1.000  1.662  1.080  0.416  0.105  0.016  0.002  0.000
  675.0    0  1.3326  0.000E+00  0.160  0.160    0.60  0.3209  0.990  0.160  1.000  0.440  1.000  1.320  0.847  0.300  0.062  0.007  0.001  0.000
  800.0    0  1.3326  0.000E+00  0.160  0.160    0.60  0.2003  0.990  0.160  1.000  0.302  1.000  0.907  0.661  0.194  0.029  0.002  0.000  0.000
  870.0    0  1.3326  0.000E+00  0.160  0.160    0.60  0.1547  0.990  0.160  1.000  0.252  1.000  0.755  0.611  0.159  0.020  0.001  0.000  0.000
 1000.0    0  1.3326  0.000E+00  0.160  0.160    0.60  0.0972  0.990  0.160  1.000  0.187  1.000  0.560  0.561  0.117  0.011  0.001  0.000  0.000
 1020.0    0  1.3326  0.000E+00  0.160  0.160    0.60  0.0907  0.990  0.160  1.000  0.179  1.000  0.538  0.557  0.112  0.010  0.001  0.000  0.000
55555.6    0  1.1684  0.258E+00  0.160  0.160    0.60  0.0117  0.990  0.160  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
23529.4    0  1.1684  0.258E+00  0.160  0.160    0.60  0.0275  0.990  0.160  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  0.160  0.160    0.60  0.0366  0.990  0.160  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000  0.000
15037.6    0  1.1684  0.258E+00  0.160  0.160    0.60  0.0431  0.990  0.160  0.000  0.001  1.000  0.002  0.500  0.001  0.000  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  0.160  0.160    0.60  0.0493  0.990  0.160  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000  0.000
11111.1    0  1.1796  0.164E+00  0.160  0.160    0.60  0.0366  0.990  0.160  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000 -0.000
 9708.7    0  1.3159  0.103E+00  0.160  0.160    0.60  0.0243  0.990  0.160  0.001  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  0.160  0.160    0.60  0.0395  0.990  0.160  0.000  0.002  1.000  0.007  0.500  0.001  0.000  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  0.160  0.160    0.60  0.0195  0.990  0.160  0.001  0.003  1.000  0.009  0.500  0.002  0.000  0.000  0.000  0.000
 6968.6    0  1.3311  0.555E-01  0.160  0.160    0.60  0.0182  0.990  0.160  0.003  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
 6097.6    0  1.3533  0.119E+00  0.160  0.160    0.60  0.0441  0.990  0.160  0.002  0.005  1.000  0.015  0.500  0.003  0.000  0.000  0.000  0.000
 5154.6    0  1.3366  0.293E-01  0.160  0.160    0.60  0.0131  0.990  0.160  0.013  0.007  1.000  0.021  0.500  0.004  0.000  0.000  0.000  0.000
 4618.9    0  1.3577  0.343E-01  0.160  0.160    0.60  0.0171  0.990  0.160  0.017  0.009  1.000  0.026  0.500  0.005  0.000  0.000  0.000  0.000
 4319.7    0  1.3621  0.267E-01  0.160  0.160    0.60  0.0143  0.990  0.160  0.027  0.010  1.000  0.030  0.500  0.006  0.000  0.000  0.000  0.000
 4016.1    0  1.3799  0.213E-01  0.160  0.160    0.60  0.0124  0.990  0.160  0.045  0.012  1.000  0.035  0.500  0.007  0.000  0.000  0.000  0.000
 3418.8    0  1.4670  0.487E-01  0.160  0.160    0.60  0.0321  0.990  0.160  0.049  0.017  1.000  0.050  0.500  0.010  0.000  0.000  0.000  0.000
 3444.7    0  1.4602  0.438E-01  0.160  0.160    0.60  0.0288  0.990  0.160  0.051  0.016  1.000  0.049  0.500  0.010  0.000  0.000  0.000  0.000
 2777.0    0  1.1248  0.530E-01  0.160  0.160    0.60  0.0497  0.990  0.160  0.007  0.022  1.000  0.066  0.501  0.016  0.000  0.000  0.000  0.000
 2320.2    0  1.2971  0.000E+00  0.160  0.160    0.60  0.0032  0.990  0.160  1.000  0.034  1.000  0.101  0.502  0.022  0.000  0.000  0.000  0.000
 2044.2    0  1.3176  0.000E+00  0.160  0.160    0.60  0.0059  0.990  0.160  1.000  0.044  1.000  0.131  0.503  0.028  0.001  0.000  0.000  0.000
 1778.4    0  1.3291  0.000E+00  0.160  0.160    0.60  0.0109  0.990  0.160  1.000  0.058  1.000  0.174  0.506  0.036  0.001  0.000  0.000  0.000
 1455.2    0  1.3326  0.000E+00  0.160  0.160    0.60  0.0243  0.990  0.160  1.000  0.087  1.000  0.260  0.513  0.054  0.002  0.000  0.000  0.000
 1270.3    0  1.3326  0.000E+00  0.160  0.160    0.60  0.0407  0.990  0.160  1.000  0.114  1.000  0.342  0.523  0.071  0.004  0.000  0.000  0.000
  944.3    0  1.3326  0.000E+00  0.160  0.160    0.60  0.1183  0.990  0.160  1.000  0.211  1.000  0.633  0.578  0.133  0.014  0.001  0.000  0.000
  693.5    0  1.3326  0.000E+00  0.160  0.160    0.60  0.2989  0.990  0.160  1.000  0.415  1.000  1.245  0.807  0.279  0.054  0.006  0.000  0.000
  527.1    0  1.3326  0.000E+00  0.160  0.160    0.60  0.6301  0.990  0.160  1.000  0.652  1.000  1.955  1.430  0.593  0.183  0.036  0.005  0.000
  399.8    0  1.3326  0.000E+00  0.160  0.160    0.60  1.2447  0.990  0.160  1.000  0.704  1.000  2.111  2.222  1.372  0.627  0.194  0.043  0.007
  329.1    0  1.3326  0.000E+00  0.160  0.160    0.60  1.8497  0.990  0.160  1.000  0.788  1.000  2.363  2.774  2.390  1.480  0.609  0.200  0.048
