 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.202  0.202    0.60  3.0305  0.990  0.202  1.000  0.835  1.000  2.504  3.367  3.583  3.244  2.578  1.654  0.780
  400.0    0  1.3326  0.000E+00  0.202  0.202    0.60  1.9819  0.990  0.202  1.000  0.794  1.000  2.381  2.847  2.519  1.653  0.733  0.262  0.067
  440.0    0  1.3326  0.000E+00  0.202  0.202    0.60  1.6254  0.990  0.202  1.000  0.768  1.000  2.304  2.642  2.119  1.194  0.444  0.128  0.027
  500.0    0  1.3326  0.000E+00  0.202  0.202    0.60  1.2612  0.990  0.202  1.000  0.707  1.000  2.120  2.247  1.409  0.651  0.203  0.046  0.008
  550.0    0  1.3326  0.000E+00  0.202  0.202    0.60  1.0511  0.990  0.202  1.000  0.685  1.000  2.055  1.952  1.014  0.407  0.110  0.021  0.003
  600.0    0  1.3326  0.000E+00  0.202  0.202    0.60  0.8479  0.990  0.202  1.000  0.679  1.000  2.037  1.712  0.781  0.277  0.065  0.010  0.001
  675.0    0  1.3326  0.000E+00  0.202  0.202    0.60  0.6005  0.990  0.202  1.000  0.643  1.000  1.929  1.383  0.567  0.171  0.032  0.004  0.000
  800.0    0  1.3326  0.000E+00  0.202  0.202    0.60  0.3763  0.990  0.202  1.000  0.499  1.000  1.497  0.956  0.355  0.082  0.011  0.001  0.000
  870.0    0  1.3326  0.000E+00  0.202  0.202    0.60  0.3023  0.990  0.202  1.000  0.419  1.000  1.257  0.813  0.283  0.056  0.006  0.000  0.000
 1000.0    0  1.3326  0.000E+00  0.202  0.202    0.60  0.2051  0.990  0.202  1.000  0.308  1.000  0.923  0.667  0.198  0.030  0.003  0.000  0.000
 1020.0    0  1.3326  0.000E+00  0.202  0.202    0.60  0.1933  0.990  0.202  1.000  0.295  1.000  0.884  0.653  0.189  0.027  0.002  0.000  0.000
55555.6    0  1.1684  0.258E+00  0.202  0.202    0.60  0.0147  0.990  0.202  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000  0.000  0.000
23529.4    0  1.1684  0.258E+00  0.202  0.202    0.60  0.0347  0.990  0.202  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
17699.1    0  1.1684  0.258E+00  0.202  0.202    0.60  0.0462  0.990  0.202  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000 -0.000
15037.6    0  1.1684  0.258E+00  0.202  0.202    0.60  0.0543  0.990  0.202  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000 -0.000
13157.9    0  1.1684  0.258E+00  0.202  0.202    0.60  0.0621  0.990  0.202  0.000  0.002  1.000  0.005  0.500  0.001  0.000  0.000  0.000 -0.000
11111.1    0  1.1796  0.164E+00  0.202  0.202    0.60  0.0462  0.990  0.202  0.000  0.002  1.000  0.007  0.500  0.002  0.000  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  0.202  0.202    0.60  0.0306  0.990  0.202  0.001  0.003  1.000  0.009  0.500  0.002  0.000  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  0.202  0.202    0.60  0.0499  0.990  0.202  0.001  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  0.202  0.202    0.60  0.0247  0.990  0.202  0.003  0.005  1.000  0.014  0.500  0.003  0.000  0.000  0.000  0.000
 6968.6    0  1.3311  0.555E-01  0.202  0.202    0.60  0.0230  0.990  0.202  0.005  0.006  1.000  0.018  0.500  0.004  0.000  0.000  0.000  0.000
 6097.6    0  1.3533  0.119E+00  0.202  0.202    0.60  0.0561  0.990  0.202  0.005  0.008  1.000  0.024  0.500  0.005  0.000  0.000  0.000  0.000
 5154.6    0  1.3366  0.293E-01  0.202  0.202    0.60  0.0169  0.990  0.202  0.025  0.011  1.000  0.033  0.500  0.007  0.000  0.000  0.000  0.000
 4618.9    0  1.3577  0.343E-01  0.202  0.202    0.60  0.0221  0.990  0.202  0.033  0.014  1.000  0.042  0.500  0.009  0.000  0.000  0.000  0.000
 4319.7    0  1.3621  0.267E-01  0.202  0.202    0.60  0.0188  0.990  0.202  0.052  0.016  1.000  0.048  0.500  0.010  0.000  0.000  0.000  0.000
 4016.1    0  1.3799  0.213E-01  0.202  0.202    0.60  0.0166  0.990  0.202  0.085  0.019  1.000  0.056  0.501  0.011  0.000  0.000  0.000  0.000
 3418.8    0  1.4670  0.487E-01  0.202  0.202    0.60  0.0433  0.990  0.202  0.091  0.027  1.000  0.080  0.501  0.015  0.000  0.000  0.000  0.000
 3444.7    0  1.4602  0.438E-01  0.202  0.202    0.60  0.0390  0.990  0.202  0.095  0.026  1.000  0.078  0.501  0.015  0.000  0.000  0.000  0.000
 2777.0    0  1.1248  0.530E-01  0.202  0.202    0.60  0.0635  0.990  0.202  0.013  0.035  1.000  0.105  0.502  0.025  0.000  0.000  0.000  0.000
 2320.2    0  1.2971  0.000E+00  0.202  0.202    0.60  0.0078  0.990  0.202  1.000  0.053  1.000  0.160  0.505  0.034  0.001  0.000  0.000  0.000
 2044.2    0  1.3176  0.000E+00  0.202  0.202    0.60  0.0146  0.990  0.202  1.000  0.069  1.000  0.208  0.509  0.044  0.002  0.000  0.000  0.000
 1778.4    0  1.3291  0.000E+00  0.202  0.202    0.60  0.0267  0.990  0.202  1.000  0.092  1.000  0.276  0.515  0.058  0.003  0.000  0.000  0.000
 1455.2    0  1.3326  0.000E+00  0.202  0.202    0.60  0.0580  0.990  0.202  1.000  0.139  1.000  0.416  0.534  0.086  0.006  0.000  0.000  0.000
 1270.3    0  1.3326  0.000E+00  0.202  0.202    0.60  0.0945  0.990  0.202  1.000  0.184  1.000  0.551  0.559  0.115  0.011  0.001  0.000  0.000
  944.3    0  1.3326  0.000E+00  0.202  0.202    0.60  0.2419  0.990  0.202  1.000  0.350  1.000  1.049  0.716  0.228  0.038  0.004  0.000  0.000
  693.5    0  1.3326  0.000E+00  0.202  0.202    0.60  0.5548  0.990  0.202  1.000  0.626  1.000  1.878  1.307  0.527  0.153  0.028  0.003  0.000
  527.1    0  1.3326  0.000E+00  0.202  0.202    0.60  1.1455  0.990  0.202  1.000  0.691  1.000  2.073  2.078  1.169  0.499  0.144  0.029  0.004
  399.8    0  1.3326  0.000E+00  0.202  0.202    0.60  1.9836  0.990  0.202  1.000  0.794  1.000  2.382  2.848  2.521  1.656  0.735  0.263  0.068
  329.1    0  1.3326  0.000E+00  0.202  0.202    0.60  2.6888  0.990  0.202  1.000  0.820  1.000  2.460  3.261  3.272  2.813  2.004  1.089  0.397
  229.8    0  1.3326  0.000E+00  0.202  0.202    0.60  3.8549  0.990  0.202  1.000  0.854  1.000  2.561  3.652  4.176  4.319  4.175  3.733  3.110
 7082.2    0  1.3270  0.562E-01  0.202  0.202    0.60  0.0230  0.990  0.202  0.005  0.006  1.000  0.018  0.500  0.004  0.000  0.000  0.000  0.000
  300.0   50  1.3797  0.114E-01  0.202  0.302    0.60  3.7187  0.990  0.302  0.918  0.823  1.000  2.468  3.510  3.994  4.279  4.409  4.317  4.209
  400.0   50  1.3797  0.114E-01  0.202  0.302    0.60  3.7867  0.990  0.302  0.941  0.830  1.000  2.491  3.458  3.797  3.802  3.442  2.794  2.003
  440.0   50  1.3797  0.114E-01  0.202  0.302    0.60  3.4882  0.990  0.302  0.942  0.828  1.000  2.485  3.371  3.607  3.380  2.793  1.960  1.092
  500.0   50  1.3797  0.114E-01  0.202  0.302    0.60  3.1482  0.990  0.302  0.943  0.812  1.000  2.437  3.207  3.243  2.798  2.035  1.104  0.391
  550.0   50  1.3797  0.114E-01  0.202  0.302    0.60  2.7343  0.990  0.302  0.942  0.794  1.000  2.383  3.041  2.837  2.203  1.295  0.596  0.178
