 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.254  0.254    0.60  3.7260  0.990  0.254  1.000  0.849  1.000  2.547  3.612  4.105  4.178  3.982  3.434  2.747
  400.0    0  1.3326  0.000E+00  0.254  0.254    0.60  2.8427  0.990  0.254  1.000  0.826  1.000  2.478  3.299  3.405  2.991  2.249  1.300  0.515
  440.0    0  1.3326  0.000E+00  0.254  0.254    0.60  2.4309  0.990  0.254  1.000  0.809  1.000  2.427  3.160  3.019  2.446  1.533  0.746  0.245
  500.0    0  1.3326  0.000E+00  0.254  0.254    0.60  2.0094  0.990  0.254  1.000  0.795  1.000  2.384  2.863  2.546  1.692  0.764  0.278  0.073
  550.0    0  1.3326  0.000E+00  0.254  0.254    0.60  1.6542  0.990  0.254  1.000  0.771  1.000  2.314  2.662  2.160  1.232  0.464  0.136  0.029
  600.0    0  1.3326  0.000E+00  0.254  0.254    0.60  1.3788  0.990  0.254  1.000  0.728  1.000  2.185  2.408  1.673  0.833  0.278  0.069  0.012
  675.0    0  1.3326  0.000E+00  0.254  0.254    0.60  1.1098  0.990  0.254  1.000  0.688  1.000  2.064  2.028  1.106  0.461  0.130  0.026  0.004
  800.0    0  1.3326  0.000E+00  0.254  0.254    0.60  0.7202  0.990  0.254  1.000  0.669  1.000  2.006  1.557  0.669  0.220  0.046  0.007  0.001
  870.0    0  1.3326  0.000E+00  0.254  0.254    0.60  0.5618  0.990  0.254  1.000  0.629  1.000  1.887  1.319  0.534  0.156  0.028  0.003  0.000
 1000.0    0  1.3326  0.000E+00  0.254  0.254    0.60  0.3841  0.990  0.254  1.000  0.507  1.000  1.520  0.972  0.363  0.085  0.012  0.001  0.000
 1020.0    0  1.3326  0.000E+00  0.254  0.254    0.60  0.3648  0.990  0.254  1.000  0.487  1.000  1.462  0.932  0.344  0.077  0.010  0.001  0.000
55555.6    0  1.1684  0.258E+00  0.254  0.254    0.60  0.0185  0.990  0.254  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000  0.000
23529.4    0  1.1684  0.258E+00  0.254  0.254    0.60  0.0437  0.990  0.254  0.000  0.001  1.000  0.002  0.500  0.001  0.000  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  0.254  0.254    0.60  0.0582  0.990  0.254  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000 -0.000
15037.6    0  1.1684  0.258E+00  0.254  0.254    0.60  0.0685  0.990  0.254  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  0.254  0.254    0.60  0.0784  0.990  0.254  0.000  0.002  1.000  0.007  0.500  0.002  0.000  0.000  0.000  0.000
11111.1    0  1.1796  0.164E+00  0.254  0.254    0.60  0.0583  0.990  0.254  0.000  0.004  1.000  0.011  0.500  0.002  0.000  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  0.254  0.254    0.60  0.0388  0.990  0.254  0.002  0.005  1.000  0.015  0.500  0.003  0.000  0.000  0.000  0.000
