 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.403  0.403    0.60  3.0073  0.990  0.403  1.000  0.791  1.000  2.374  3.375  3.712  3.986  4.075  4.159  4.300
  400.0    0  1.3326  0.000E+00  0.403  0.403    0.60  3.9438  0.990  0.403  1.000  0.844  1.000  2.531  3.667  4.237  4.518  4.586  4.382  4.132
  440.0    0  1.3326  0.000E+00  0.403  0.403    0.60  3.9440  0.990  0.403  1.000  0.853  1.000  2.559  3.660  4.208  4.437  4.333  4.011  3.479
  500.0    0  1.3326  0.000E+00  0.403  0.403    0.60  3.6337  0.990  0.403  1.000  0.844  1.000  2.533  3.565  3.997  4.027  3.727  3.095  2.334
  550.0    0  1.3326  0.000E+00  0.403  0.403    0.60  3.3448  0.990  0.403  1.000  0.845  1.000  2.534  3.515  3.818  3.703  3.163  2.407  1.521
  600.0    0  1.3326  0.000E+00  0.403  0.403    0.60  3.0305  0.990  0.403  1.000  0.835  1.000  2.504  3.367  3.583  3.244  2.578  1.654  0.780
  675.0    0  1.3326  0.000E+00  0.403  0.403    0.60  2.5747  0.990  0.403  1.000  0.815  1.000  2.446  3.226  3.167  2.667  1.809  0.940  0.326
  800.0    0  1.3326  0.000E+00  0.403  0.403    0.60  1.9819  0.990  0.403  1.000  0.794  1.000  2.381  2.847  2.519  1.653  0.733  0.262  0.067
  870.0    0  1.3326  0.000E+00  0.403  0.403    0.60  1.6672  0.990  0.403  1.000  0.773  1.000  2.318  2.670  2.178  1.249  0.473  0.140  0.030
 1000.0    0  1.3326  0.000E+00  0.403  0.403    0.60  1.2612  0.990  0.403  1.000  0.707  1.000  2.120  2.247  1.409  0.651  0.203  0.046  0.008
 1020.0    0  1.3326  0.000E+00  0.403  0.403    0.60  1.2173  0.990  0.403  1.000  0.700  1.000  2.099  2.182  1.312  0.589  0.179  0.039  0.006
55555.6    0  1.1684  0.258E+00  0.403  0.403    0.60  0.0294  0.990  0.403  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
23529.4    0  1.1684  0.258E+00  0.403  0.403    0.60  0.0695  0.990  0.403  0.000  0.002  1.000  0.006  0.500  0.001  0.000  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  0.403  0.403    0.60  0.0926  0.990  0.403  0.000  0.003  1.000  0.010  0.500  0.002  0.000  0.000  0.000  0.000
15037.6    0  1.1684  0.258E+00  0.403  0.403    0.60  0.1091  0.990  0.403  0.001  0.005  1.000  0.014  0.500  0.003  0.000  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  0.403  0.403    0.60  0.1249  0.990  0.403  0.001  0.006  1.000  0.019  0.500  0.004  0.000  0.000  0.000  0.000
11111.1    0  1.1796  0.164E+00  0.403  0.403    0.60  0.0931  0.990  0.403  0.002  0.009  1.000  0.027  0.500  0.006  0.000  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  0.403  0.403    0.60  0.0628  0.990  0.403  0.008  0.012  1.000  0.037  0.500  0.008  0.000  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  0.403  0.403    0.60  0.1021  0.990  0.403  0.007  0.015  1.000  0.044  0.500  0.009  0.000  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  0.403  0.403    0.60  0.0516  0.990  0.403  0.021  0.019  1.000  0.057  0.501  0.012  0.000  0.000  0.000  0.000
 6968.6    0  1.3311  0.555E-01  0.403  0.403    0.60  0.0494  0.990  0.403  0.040  0.024  1.000  0.072  0.501  0.015  0.000  0.000  0.000  0.000
 6097.6    0  1.3533  0.119E+00  0.403  0.403    0.60  0.1206  0.990  0.403  0.034  0.032  1.000  0.095  0.502  0.020  0.000  0.000  0.000  0.000
 5154.6    0  1.3366  0.293E-01  0.403  0.403    0.60  0.0415  0.990  0.403  0.159  0.044  1.000  0.132  0.503  0.027  0.001  0.000  0.000  0.000
 4618.9    0  1.3577  0.343E-01  0.403  0.403    0.60  0.0575  0.990  0.403  0.198  0.055  1.000  0.166  0.505  0.034  0.001  0.000  0.000  0.000
 4319.7    0  1.3621  0.267E-01  0.403  0.403    0.60  0.0539  0.990  0.403  0.281  0.063  1.000  0.190  0.507  0.039  0.001  0.000  0.000  0.000
 4016.1    0  1.3799  0.213E-01  0.403  0.403    0.60  0.0556  0.990  0.403  0.396  0.074  1.000  0.222  0.509  0.045  0.002  0.000  0.000  0.000
 3418.8    0  1.4670  0.487E-01  0.403  0.403    0.60  0.1525  0.990  0.403  0.399  0.106  1.000  0.319  0.519  0.061  0.003  0.000  0.000  0.000
 3444.7    0  1.4602  0.438E-01  0.403  0.403    0.60  0.1394  0.990  0.403  0.413  0.104  1.000  0.313  0.518  0.060  0.003  0.000  0.000  0.000
 2777.0    0  1.1248  0.530E-01  0.403  0.403    0.60  0.1404  0.990  0.403  0.078  0.145  1.000  0.434  0.539  0.103  0.008  0.000  0.000  0.000
 2320.2    0  1.2971  0.000E+00  0.403  0.403    0.60  0.1023  0.990  0.403  1.000  0.219  1.000  0.658  0.586  0.142  0.016  0.001  0.000  0.000
 2044.2    0  1.3176  0.000E+00  0.403  0.403    0.60  0.1749  0.990  0.403  1.000  0.291  1.000  0.873  0.650  0.189  0.027  0.002  0.000  0.000
 1778.4    0  1.3291  0.000E+00  0.403  0.403    0.60  0.2792  0.990  0.403  1.000  0.399  1.000  1.196  0.783  0.267  0.050  0.006  0.000  0.000
 1455.2    0  1.3326  0.000E+00  0.403  0.403    0.60  0.4844  0.990  0.403  1.000  0.588  1.000  1.765  1.177  0.462  0.125  0.020  0.002  0.000
 1270.3    0  1.3326  0.000E+00  0.403  0.403    0.60  0.7196  0.990  0.403  1.000  0.669  1.000  2.006  1.556  0.668  0.219  0.046  0.007  0.001
  944.3    0  1.3326  0.000E+00  0.403  0.403    0.60  1.4017  0.990  0.403  1.000  0.733  1.000  2.198  2.436  1.722  0.869  0.293  0.074  0.014
  693.5    0  1.3326  0.000E+00  0.403  0.403    0.60  2.4592  0.990  0.403  1.000  0.810  1.000  2.431  3.176  3.050  2.493  1.590  0.785  0.260
  527.1    0  1.3326  0.000E+00  0.403  0.403    0.60  3.5223  0.990  0.403  1.000  0.845  1.000  2.535  3.548  3.902  3.885  3.448  2.765  1.930
  399.8    0  1.3326  0.000E+00  0.403  0.403    0.60  3.9451  0.990  0.403  1.000  0.844  1.000  2.531  3.668  4.237  4.519  4.588  4.385  4.137
  329.1    0  1.3326  0.000E+00  0.403  0.403    0.60  3.4220  0.990  0.403  1.000  0.818  1.000  2.455  3.515  4.028  4.355  4.522  4.568  4.628
  229.8    0  1.3326  0.000E+00  0.403  0.403    0.60  1.7283  0.990  0.403  1.000  0.661  1.000  1.983  2.630  2.203  2.017  1.739  1.576  1.577
 7082.2    0  1.3270  0.562E-01  0.403  0.403    0.60  0.0491  0.990  0.403  0.037  0.023  1.000  0.070  0.501  0.015  0.000  0.000  0.000  0.000
  300.0   50  1.3797  0.114E-01  0.403  0.604    0.60  2.5032  0.990  0.604  0.788  0.806  1.000  2.419  3.686  4.419  5.507  6.236  7.035  7.636
  400.0   50  1.3797  0.114E-01  0.403  0.604    0.60  2.0266  0.990  0.604  0.784  0.651  1.000  1.954  2.612  2.374  2.441  2.348  2.539  2.732
  440.0   50  1.3797  0.114E-01  0.403  0.604    0.60  2.3035  0.990  0.604  0.825  0.695  1.000  2.084  2.805  2.765  2.831  2.839  2.970  3.192
  500.0   50  1.3797  0.114E-01  0.403  0.604    0.60  2.8086  0.990  0.604  0.879  0.764  1.000  2.293  3.155  3.438  3.669  3.790  3.915  4.073
  550.0   50  1.3797  0.114E-01  0.403  0.604    0.60  3.3097  0.990  0.604  0.902  0.792  1.000  2.376  3.366  3.755  4.039  4.149  4.216  4.246
  600.0   50  1.3797  0.114E-01  0.403  0.604    0.60  3.7186  0.990  0.604  0.918  0.823  1.000  2.468  3.510  3.994  4.279  4.409  4.317  4.209
  675.0   50  1.3797  0.114E-01  0.403  0.604    0.60  3.8854  0.990  0.604  0.932  0.833  1.000  2.499  3.527  4.002  4.233  4.159  3.906  3.463
  800.0   50  1.3797  0.114E-01  0.403  0.604    0.60  3.7867  0.990  0.604  0.941  0.830  1.000  2.491  3.458  3.797  3.802  3.442  2.794  2.003
  870.0   50  1.3797  0.114E-01  0.403  0.604    0.60  3.5277  0.990  0.604  0.941  0.829  1.000  2.488  3.391  3.636  3.443  2.878  2.074  1.205
 1000.0   50  1.3797  0.114E-01  0.403  0.604    0.60  3.1482  0.990  0.604  0.943  0.812  1.000  2.437  3.207  3.243  2.798  2.035  1.104  0.391
 1020.0   50  1.3797  0.114E-01  0.403  0.604    0.60  3.0630  0.990  0.604  0.942  0.809  1.000  2.426  3.185  3.168  2.697  1.898  0.997  0.338
55555.6   50  1.7343  0.386E+00  0.403  0.604    0.60  0.0434  0.990  0.604  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000 -0.000
23529.4   50  1.7349  0.395E+00  0.403  0.604    0.60  0.1069  0.990  0.604  0.004  0.006  1.000  0.017  0.500  0.003  0.000  0.000  0.000  0.000
