 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  1.613  1.613    0.60  2.3251  0.990  1.613  1.000  0.824  1.000  2.473  3.808  4.465  5.232  5.993  6.632  7.361
  400.0    0  1.3326  0.000E+00  1.613  1.613    0.60  2.5527  0.990  1.613  1.000  0.831  1.000  2.493  3.831  4.522  5.228  6.053  6.702  7.525
  440.0    0  1.3326  0.000E+00  1.613  1.613    0.60  2.1038  0.990  1.613  1.000  0.832  1.000  2.495  3.713  4.245  4.678  5.015  5.244  5.656
  500.0    0  1.3326  0.000E+00  1.613  1.613    0.60  1.8637  0.990  1.613  1.000  0.814  1.000  2.443  3.579  3.904  4.278  4.297  4.334  4.332
  550.0    0  1.3326  0.000E+00  1.613  1.613    0.60  2.4271  0.990  1.613  1.000  0.821  1.000  2.464  3.762  4.355  5.072  5.548  6.015  6.409
  600.0    0  1.3326  0.000E+00  1.613  1.613    0.60  2.6894  0.990  1.613  1.000  0.846  1.000  2.537  3.921  4.697  5.595  6.261  6.954  7.513
  675.0    0  1.3326  0.000E+00  1.613  1.613    0.60  2.7370  0.990  1.613  1.000  0.800  1.000  2.400  3.714  4.374  5.217  5.890  6.642  7.259
  800.0    0  1.3326  0.000E+00  1.613  1.613    0.60  1.8787  0.990  1.613  1.000  0.712  1.000  2.135  3.042  3.006  3.198  3.326  3.544  3.685
  870.0    0  1.3326  0.000E+00  1.613  1.613    0.60  1.8285  0.990  1.613  1.000  0.658  1.000  1.974  2.711  2.396  2.262  2.064  2.093  2.013
 1000.0    0  1.3326  0.000E+00  1.613  1.613    0.60  2.0192  0.990  1.613  1.000  0.702  1.000  2.107  2.828  2.637  2.509  2.348  2.203  2.279
 1020.0    0  1.3326  0.000E+00  1.613  1.613    0.60  2.2248  0.990  1.613  1.000  0.704  1.000  2.112  2.907  2.791  2.694  2.571  2.504  2.566
55555.6    0  1.1684  0.258E+00  1.613  1.613    0.60  0.1183  0.990  1.613  0.001  0.006  1.000  0.017  0.500  0.004  0.000  0.000  0.000  0.000
23529.4    0  1.1684  0.258E+00  1.613  1.613    0.60  0.2863  0.990  1.613  0.012  0.032  1.000  0.095  0.502  0.022  0.000  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  1.613  1.613    0.60  0.3870  0.990  1.613  0.027  0.056  1.000  0.169  0.506  0.039  0.001  0.000  0.000  0.000
15037.6    0  1.1684  0.258E+00  1.613  1.613    0.60  0.4603  0.990  1.613  0.041  0.079  1.000  0.237  0.512  0.055  0.002  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  1.613  1.613    0.60  0.5302  0.990  1.613  0.056  0.105  1.000  0.315  0.520  0.073  0.004  0.000  0.000  0.000
11111.1    0  1.1796  0.164E+00  1.613  1.613    0.60  0.4163  0.990  1.613  0.080  0.150  1.000  0.450  0.541  0.104  0.009  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  1.613  1.613    0.60  0.3918  0.990  1.613  0.259  0.208  1.000  0.625  0.576  0.132  0.014  0.001  0.000  0.000
 8849.6    0  1.2787  0.149E+00  1.613  1.613    0.60  0.5606  0.990  1.613  0.208  0.256  1.000  0.767  0.615  0.169  0.022  0.002  0.000  0.000
 7782.1    0  1.2991  0.655E-01  1.613  1.613    0.60  0.4140  0.990  1.613  0.415  0.333  1.000  1.000  0.696  0.223  0.036  0.003  0.000  0.000
 6968.6    0  1.3311  0.555E-01  1.613  1.613    0.60  0.5192  0.990  1.613  0.539  0.431  1.000  1.292  0.827  0.294  0.059  0.007  0.001  0.000
 6097.6    0  1.3533  0.119E+00  1.613  1.613    0.60  0.9826  0.990  1.613  0.432  0.574  1.000  1.721  1.118  0.449  0.119  0.018  0.002  0.000
 5154.6    0  1.3366  0.293E-01  1.613  1.613    0.60  0.8529  0.990  1.613  0.765  0.670  1.000  2.009  1.536  0.667  0.219  0.046  0.006  0.001
 4618.9    0  1.3577  0.343E-01  1.613  1.613    0.60  1.2294  0.990  1.613  0.784  0.686  1.000  2.058  1.853  0.924  0.355  0.090  0.015  0.002
 4319.7    0  1.3621  0.267E-01  1.613  1.613    0.60  1.3816  0.990  1.613  0.838  0.692  1.000  2.076  2.043  1.142  0.482  0.135  0.027  0.004
 4016.1    0  1.3799  0.213E-01  1.613  1.613    0.60  1.6614  0.990  1.613  0.880  0.713  1.000  2.138  2.276  1.491  0.704  0.218  0.049  0.008
 3418.8    0  1.4670  0.487E-01  1.613  1.613    0.60  2.9458  0.990  1.613  0.819  0.773  1.000  2.320  2.703  2.347  1.459  0.624  0.219  0.050
 3444.7    0  1.4602  0.438E-01  1.613  1.613    0.60  2.8918  0.990  1.613  0.831  0.773  1.000  2.319  2.685  2.316  1.415  0.585  0.199  0.045
 2777.0    0  1.1248  0.530E-01  1.613  1.613    0.60  0.8078  0.990  1.613  0.413  0.861  1.000  2.584  3.334  3.250  2.489  1.455  0.666  0.238
 2320.2    0  1.2971  0.000E+00  1.613  1.613    0.60  2.7024  0.990  1.613  1.000  0.850  1.000  2.550  3.471  3.740  3.441  2.785  1.871  0.952
 2044.2    0  1.3176  0.000E+00  1.613  1.613    0.60  3.4437  0.990  1.613  1.000  0.851  1.000  2.554  3.595  4.004  4.018  3.631  2.961  2.145
 1778.4    0  1.3291  0.000E+00  1.613  1.613    0.60  3.9178  0.990  1.613  1.000  0.856  1.000  2.569  3.675  4.226  4.437  4.322  3.968  3.401
