 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK RgDry  RgWet      Sg        Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
    1.8    0  1.3930  0.619E-03  0.089  0.089    0.60  0.0585  0.990  0.171  0.983  0.340  1.000  1.019  0.893  0.343  0.127  0.045  0.017  0.007
    1.5    0  1.4048  0.128E-03  0.089  0.089    0.60  0.1124  0.990  0.171  0.998  0.413  1.000  1.238  1.069  0.489  0.214  0.087  0.038  0.016
    1.3    0  1.4122  0.181E-04  0.089  0.089    0.60  0.1716  0.990  0.171  1.000  0.461  1.000  1.384  1.208  0.613  0.296  0.131  0.061  0.027
    0.9    0  1.4239  0.174E-05  0.089  0.089    0.60  0.3926  0.990  0.171  1.000  0.558  1.000  1.674  1.553  0.958  0.550  0.287  0.152  0.077
    0.7    0  1.4282  0.184E-07  0.089  0.089    0.60  0.7939  0.990  0.171  1.000  0.638  1.000  1.913  1.942  1.409  0.938  0.566  0.340  0.195
    0.5    0  1.4306  0.959E-08  0.089  0.089    0.60  1.3165  0.990  0.171  1.000  0.689  1.000  2.066  2.273  1.846  1.366  0.922  0.608  0.387
    0.4    0  1.4400  0.100E-07  0.089  0.089    0.60  1.9823  0.990  0.171  1.000  0.718  1.000  2.154  2.534  2.232  1.803  1.334  0.955  0.667
    0.3    0  1.4587  0.100E-07  0.089  0.089    0.60  2.4882  0.990  0.171  1.000  0.721  1.000  2.163  2.634  2.399  2.038  1.587  1.198  0.889
    0.2    0  1.4860  0.100E-07  0.089  0.089    0.60  3.0131  0.990  0.171  1.000  0.706  1.000  2.119  2.723  2.563  2.403  2.037  1.724  1.432
    7.1    0  1.2350  0.149E+00  0.089  0.089    0.60  0.0548  0.990  0.171  0.004  0.038  1.000  0.114  0.507  0.026  0.001  0.000  0.000  0.000
    0.3   50  1.3920  0.139E-07  0.089  0.118    0.60  2.7944  0.990  0.227  1.000  0.771  1.000  2.313  3.057  3.083  2.910  2.545  2.149  1.796
    0.4   50  1.3750  0.476E-08  0.089  0.118    0.60  2.2421  0.990  0.227  1.000  0.774  1.000  2.321  2.960  2.893  2.581  2.127  1.682  1.302
    0.4   50  1.3716  0.419E-08  0.089  0.118    0.60  2.0216  0.990  0.227  1.000  0.769  1.000  2.307  2.896  2.781  2.429  1.955  1.510  1.139
    0.5   50  1.3690  0.421E-08  0.089  0.118    0.60  1.7265  0.990  0.227  1.000  0.759  1.000  2.276  2.787  2.599  2.197  1.707  1.276  0.927
    0.6   50  1.3680  0.483E-08  0.089  0.118    0.60  1.5135  0.990  0.227  1.000  0.748  1.000  2.244  2.691  2.445  2.011  1.519  1.105  0.781
    0.6   50  1.3670  0.123E-07  0.089  0.118    0.60  1.3255  0.990  0.227  1.000  0.737  1.000  2.210  2.595  2.297  1.840  1.351  0.958  0.659
    0.7   50  1.3660  0.209E-07  0.089  0.118    0.60  1.0897  0.990  0.227  1.000  0.718  1.000  2.155  2.453  2.087  1.607  1.132  0.775  0.513
    0.8   50  1.3640  0.111E-06  0.089  0.118    0.60  0.7916  0.990  0.227  1.000  0.686  1.000  2.058  2.232  1.776  1.285  0.848  0.549  0.343
    0.9   50  1.3633  0.101E-05  0.089  0.118    0.60  0.6673  0.990  0.227  1.000  0.667  1.000  2.001  2.116  1.623  1.134  0.724  0.454  0.275
    1.0   50  1.3610  0.240E-05  0.089  0.118    0.60  0.4897  0.990  0.227  1.000  0.632  1.000  1.896  1.920  1.379  0.906  0.543  0.324  0.186
    1.0   50  1.3605  0.456E-05  0.089  0.118    0.60  0.4673  0.990  0.227  1.000  0.626  1.000  1.879  1.892  1.345  0.876  0.521  0.308  0.176
