 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  1.016  1.016    0.60  2.0039  0.990  1.016  1.000  0.739  1.000  2.216  3.341  3.522  3.990  4.189  4.363  4.465
  400.0    0  1.3326  0.000E+00  1.016  1.016    0.60  2.8132  0.990  1.016  1.000  0.830  1.000  2.491  3.864  4.625  5.528  6.248  7.006  7.643
  440.0    0  1.3326  0.000E+00  1.016  1.016    0.60  2.4133  0.990  1.016  1.000  0.796  1.000  2.388  3.660  4.204  5.041  5.675  6.354  6.870
  500.0    0  1.3326  0.000E+00  1.016  1.016    0.60  1.8491  0.990  1.016  1.000  0.713  1.000  2.139  3.057  3.030  3.308  3.468  3.715  3.895
  550.0    0  1.3326  0.000E+00  1.016  1.016    0.60  1.8450  0.990  1.016  1.000  0.651  1.000  1.954  2.688  2.372  2.234  2.025  2.058  1.992
  600.0    0  1.3326  0.000E+00  1.016  1.016    0.60  1.9653  0.990  1.016  1.000  0.643  1.000  1.928  2.625  2.292  2.133  1.813  1.804  1.744
  675.0    0  1.3326  0.000E+00  1.016  1.016    0.60  2.2928  0.990  1.016  1.000  0.726  1.000  2.178  2.978  2.981  3.052  2.926  2.944  3.033
  800.0    0  1.3326  0.000E+00  1.016  1.016    0.60  3.2897  0.990  1.016  1.000  0.800  1.000  2.400  3.437  3.880  4.140  4.274  4.345  4.392
  870.0    0  1.3326  0.000E+00  1.016  1.016    0.60  3.7276  0.990  1.016  1.000  0.827  1.000  2.480  3.604  4.125  4.470  4.629  4.642  4.670
 1000.0    0  1.3326  0.000E+00  1.016  1.016    0.60  3.9632  0.990  1.016  1.000  0.845  1.000  2.534  3.672  4.247  4.537  4.621  4.431  4.199
 1020.0    0  1.3326  0.000E+00  1.016  1.016    0.60  3.9135  0.990  1.016  1.000  0.843  1.000  2.528  3.658  4.221  4.492  4.534  4.312  4.029
55555.6    0  1.1684  0.258E+00  1.016  1.016    0.60  0.0742  0.990  1.016  0.000  0.002  1.000  0.007  0.500  0.002  0.000  0.000  0.000  0.000
23529.4    0  1.1684  0.258E+00  1.016  1.016    0.60  0.1772  0.990  1.016  0.003  0.012  1.000  0.037  0.500  0.009  0.000  0.000  0.000  0.000
17699.1    0  1.1684  0.258E+00  1.016  1.016    0.60  0.2378  0.990  1.016  0.007  0.022  1.000  0.066  0.501  0.015  0.000  0.000  0.000  0.000
15037.6    0  1.1684  0.258E+00  1.016  1.016    0.60  0.2820  0.990  1.016  0.012  0.031  1.000  0.092  0.502  0.021  0.000  0.000  0.000  0.000
13157.9    0  1.1684  0.258E+00  1.016  1.016    0.60  0.3246  0.990  1.016  0.017  0.040  1.000  0.120  0.503  0.028  0.001  0.000  0.000  0.000
11111.1    0  1.1796  0.164E+00  1.016  1.016    0.60  0.2471  0.990  1.016  0.026  0.057  1.000  0.171  0.506  0.039  0.001  0.000  0.000  0.000
 9708.7    0  1.3159  0.103E+00  1.016  1.016    0.60  0.1908  0.990  1.016  0.103  0.079  1.000  0.237  0.511  0.050  0.002  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  1.016  1.016    0.60  0.2994  0.990  1.016  0.084  0.094  1.000  0.283  0.516  0.061  0.003  0.000  0.000  0.000
 7782.1    0  1.2991  0.655E-01  1.016  1.016    0.60  0.1813  0.990  1.016  0.213  0.123  1.000  0.368  0.527  0.078  0.005  0.000  0.000  0.000
 6968.6    0  1.3311  0.555E-01  1.016  1.016    0.60  0.2074  0.990  1.016  0.333  0.156  1.000  0.468  0.543  0.097  0.008  0.000  0.000  0.000
 6097.6    0  1.3533  0.119E+00  1.016  1.016    0.60  0.4643  0.990  1.016  0.276  0.214  1.000  0.642  0.578  0.132  0.014  0.001  0.000  0.000
 5154.6    0  1.3366  0.293E-01  1.016  1.016    0.60  0.2981  0.990  1.016  0.640  0.298  1.000  0.894  0.655  0.190  0.027  0.002  0.000  0.000
 4618.9    0  1.3577  0.343E-01  1.016  1.016    0.60  0.4362  0.990  1.016  0.668  0.387  1.000  1.161  0.760  0.251  0.045  0.005  0.000  0.000
 4319.7    0  1.3621  0.267E-01  1.016  1.016    0.60  0.4830  0.990  1.016  0.743  0.448  1.000  1.343  0.851  0.298  0.061  0.007  0.001  0.000
 4016.1    0  1.3799  0.213E-01  1.016  1.016    0.60  0.5938  0.990  1.016  0.810  0.524  1.000  1.571  0.991  0.361  0.084  0.012  0.001  0.000
 3418.8    0  1.4670  0.487E-01  1.016  1.016    0.60  1.4531  0.990  1.016  0.763  0.648  1.000  1.943  1.401  0.555  0.171  0.032  0.004  0.000
 3444.7    0  1.4602  0.438E-01  1.016  1.016    0.60  1.3752  0.990  1.016  0.775  0.646  1.000  1.939  1.383  0.542  0.164  0.030  0.004  0.000
 2777.0    0  1.1248  0.530E-01  1.016  1.016    0.60  0.4510  0.990  1.016  0.286  0.729  1.000  2.188  1.987  1.103  0.456  0.132  0.026  0.004
 2320.2    0  1.2971  0.000E+00  1.016  1.016    0.60  1.1894  0.990  1.016  1.000  0.746  1.000  2.238  2.516  1.823  0.940  0.333  0.089  0.017
 2044.2    0  1.3176  0.000E+00  1.016  1.016    0.60  1.7719  0.990  1.016  1.000  0.795  1.000  2.384  2.829  2.475  1.580  0.679  0.233  0.058
 1778.4    0  1.3291  0.000E+00  1.016  1.016    0.60  2.3518  0.990  1.016  1.000  0.808  1.000  2.425  3.140  2.975  2.374  1.443  0.686  0.222
 1455.2    0  1.3326  0.000E+00  1.016  1.016    0.60  3.1479  0.990  1.016  1.000  0.840  1.000  2.520  3.434  3.693  3.438  2.816  1.953  1.053
 1270.3    0  1.3326  0.000E+00  1.016  1.016    0.60  3.6227  0.990  1.016  1.000  0.844  1.000  2.532  3.561  3.981  4.007  3.686  3.046  2.274
  944.3    0  1.3326  0.000E+00  1.016  1.016    0.60  3.8578  0.990  1.016  1.000  0.844  1.000  2.531  3.641  4.242  4.578  4.689  4.623  4.431
  693.5    0  1.3326  0.000E+00  1.016  1.016    0.60  2.5644  0.990  1.016  1.000  0.757  1.000  2.271  3.162  3.296  3.380  3.386  3.389  3.499
  527.1    0  1.3326  0.000E+00  1.016  1.016    0.60  1.7205  0.990  1.016  1.000  0.634  1.000  1.902  2.640  2.296  2.459  2.335  2.438  2.625
  399.8    0  1.3326  0.000E+00  1.016  1.016    0.60  2.8069  0.990  1.016  1.000  0.831  1.000  2.494  3.868  4.631  5.534  6.255  7.010  7.645
  329.1    0  1.3326  0.000E+00  1.016  1.016    0.60  2.0410  0.990  1.016  1.000  0.827  1.000  2.481  3.689  4.151  4.653  4.866  5.047  5.215
  229.8    0  1.3326  0.000E+00  1.016  1.016    0.60  2.2592  0.990  1.016  1.000  0.842  1.000  2.525  3.810  4.470  5.091  5.778  6.354  7.107
 7082.2    0  1.3270  0.562E-01  1.016  1.016    0.60  0.2011  0.990  1.016  0.317  0.151  1.000  0.452  0.540  0.094  0.007  0.000  0.000  0.000
  300.0   50  1.3797  0.114E-01  1.016  1.523    0.60  2.2833  0.990  1.523  0.657  0.917  1.000  2.752  4.279  5.546  6.822  8.003  9.181 10.301
  400.0   50  1.3797  0.114E-01  1.016  1.523    0.60  2.3569  0.990  1.523  0.706  0.896  1.000  2.688  4.103  5.176  6.265  7.284  8.341  9.382
  440.0   50  1.3797  0.114E-01  1.016  1.523    0.60  2.4226  0.990  1.523  0.725  0.895  1.000  2.686  4.089  5.129  6.167  7.088  8.078  9.025
  500.0   50  1.3797  0.114E-01  1.016  1.523    0.60  2.0774  0.990  1.523  0.695  0.865  1.000  2.594  3.819  4.557  5.259  5.755  6.268  6.717
  550.0   50  1.3797  0.114E-01  1.016  1.523    0.60  2.1208  0.990  1.523  0.714  0.857  1.000  2.571  3.812  4.529  5.292  5.728  6.206  6.480
  600.0   50  1.3797  0.114E-01  1.016  1.523    0.60  2.4690  0.990  1.523  0.757  0.868  1.000  2.603  3.969  4.877  5.896  6.602  7.265  7.726
  675.0   50  1.3797  0.114E-01  1.016  1.523    0.60  2.6821  0.990  1.523  0.796  0.864  1.000  2.592  3.995  4.956  6.106  6.986  7.830  8.453
  800.0   50  1.3797  0.114E-01  1.016  1.523    0.60  2.3395  0.990  1.523  0.778  0.767  1.000  2.300  3.443  3.980  4.839  5.407  6.090  6.665
  870.0   50  1.3797  0.114E-01  1.016  1.523    0.60  1.9900  0.990  1.523  0.761  0.697  1.000  2.092  2.933  3.048  3.615  3.884  4.297  4.695
 1000.0   50  1.3797  0.114E-01  1.016  1.523    0.60  2.0303  0.990  1.523  0.783  0.661  1.000  1.983  2.660  2.429  2.465  2.414  2.573  2.755
 1020.0   50  1.3797  0.114E-01  1.016  1.523    0.60  1.9806  0.990  1.523  0.787  0.646  1.000  1.937  2.549  2.292  2.407  2.267  2.462  2.671
55555.6   50  1.7343  0.386E+00  1.016  1.523    0.60  0.1120  0.990  1.523  0.004  0.006  1.000  0.019  0.500  0.003  0.000  0.000  0.000  0.000
23529.4   50  1.7349  0.395E+00  1.016  1.523    0.60  0.3111  0.990  1.523  0.050  0.036  1.000  0.107  0.502  0.018  0.000  0.000  0.000  0.000
17699.1   50  1.7588  0.446E+00  1.016  1.523    0.60  0.5213  0.990  1.523  0.103  0.063  1.000  0.190  0.506  0.031  0.001  0.000  0.000  0.000
15037.6   50  1.5027  0.362E+00  1.016  1.523    0.60  0.5820  0.990  1.523  0.096  0.079  1.000  0.238  0.510  0.045  0.002  0.000  0.000  0.000
13157.9   50  1.5337  0.292E+00  1.016  1.523    0.60  0.5877  0.990  1.523  0.152  0.107  1.000  0.320  0.518  0.059  0.003  0.000  0.000  0.000
11111.1   50  1.5882  0.344E+00  1.016  1.523    0.60  0.8998  0.990  1.523  0.222  0.158  1.000  0.475  0.538  0.083  0.006  0.000  0.000  0.000
 9708.7   50  1.6413  0.508E+00  1.016  1.523    0.60  1.5081  0.990  1.523  0.269  0.220  1.000  0.659  0.570  0.114  0.011  0.001  0.000  0.000
 8849.6   50  1.4307  0.516E+00  1.016  1.523    0.60  1.5226  0.990  1.523  0.230  0.249  1.000  0.748  0.600  0.156  0.019  0.001  0.000  0.000
 7782.1   50  1.2466  0.243E+00  1.016  1.523    0.60  0.8628  0.990  1.523  0.178  0.304  1.000  0.913  0.663  0.213  0.033  0.003  0.000  0.000
 6968.6   50  1.3269  0.172E+00  1.016  1.523    0.60  0.8559  0.990  1.523  0.290  0.397  1.000  1.190  0.772  0.271  0.051  0.005  0.000  0.000
 6097.6   50  1.4180  0.218E+00  1.016  1.523    0.60  1.3653  0.990  1.523  0.370  0.544  1.000  1.632  1.026  0.402  0.100  0.014  0.001  0.000
 5154.6   50  1.3078  0.147E+00  1.016  1.523    0.60  1.1272  0.990  1.523  0.375  0.649  1.000  1.946  1.419  0.645  0.208  0.041  0.005  0.000
 4618.9   50  1.3434  0.122E+00  1.016  1.523    0.60  1.3462  0.990  1.523  0.485  0.694  1.000  2.081  1.763  0.876  0.326  0.078  0.012  0.001
 4319.7   50  1.3490  0.116E+00  1.016  1.523    0.60  1.4752  0.990  1.523  0.522  0.708  1.000  2.124  1.981  1.080  0.438  0.117  0.021  0.003
 4016.1   50  1.3559  0.107E+00  1.016  1.523    0.60  1.6218  0.990  1.523  0.566  0.725  1.000  2.174  2.222  1.364  0.608  0.183  0.039  0.006
 3418.8   50  1.3709  0.124E+00  1.016  1.523    0.60  2.0952  0.990  1.523  0.577  0.791  1.000  2.374  2.738  2.236  1.272  0.510  0.154  0.033
 3444.7   50  1.3700  0.120E+00  1.016  1.523    0.60  2.0686  0.990  1.523  0.581  0.788  1.000  2.364  2.716  2.192  1.229  0.485  0.143  0.030
 2777.0   50  1.1943  0.474E-01  1.016  1.523    0.60  1.1227  0.990  1.523  0.600  0.845  1.000  2.534  3.186  3.006  2.176  1.168  0.486  0.154
 2320.2   50  1.3325  0.980E-03  1.016  1.523    0.60  2.9532  0.990  1.523  0.994  0.832  1.000  2.495  3.338  3.516  3.142  2.448  1.502  0.657
 2044.2   50  1.3546  0.233E-02  1.016  1.523    0.60  3.6443  0.990  1.523  0.987  0.836  1.000  2.509  3.491  3.801  3.760  3.303  2.614  1.778
 1778.4   50  1.3679  0.541E-02  1.016  1.523    0.60  3.9416  0.990  1.523  0.967  0.837  1.000  2.511  3.552  4.017  4.141  4.012  3.591  3.010
 1455.2   50  1.3775  0.919E-02  1.016  1.523    0.60  3.5396  0.990  1.523  0.930  0.815  1.000  2.445  3.443  3.916  4.217  4.327  4.324  4.229
 1270.3   50  1.3797  0.114E-01  1.016  1.523    0.60  2.8517  0.990  1.523  0.882  0.771  1.000  2.313  3.188  3.490  3.740  3.875  3.987  4.154
  944.3   50  1.3797  0.114E-01  1.016  1.523    0.60  1.8506  0.990  1.523  0.763  0.651  1.000  1.954  2.569  2.350  2.604  2.558  2.792  3.001
  693.5   50  1.3797  0.114E-01  1.016  1.523    0.60  2.7347  0.990  1.523  0.800  0.849  1.000  2.547  3.936  4.870  5.979  6.810  7.709  8.358
  527.1   50  1.3797  0.114E-01  1.016  1.523    0.60  2.0322  0.990  1.523  0.699  0.856  1.000  2.568  3.762  4.439  5.116  5.488  5.916  6.209
  399.8   50  1.3797  0.114E-01  1.016  1.523    0.60  2.3564  0.990  1.523  0.706  0.896  1.000  2.688  4.103  5.175  6.264  7.281  8.337  9.378
  329.1   50  1.3797  0.114E-01  1.016  1.523    0.60  2.2270  0.990  1.523  0.664  0.906  1.000  2.719  4.189  5.355  6.534  7.633  8.716  9.743
  229.8   50  1.3797  0.114E-01  1.016  1.523    0.60  2.1556  0.990  1.523  0.606  0.929  1.000  2.788  4.368  5.745  7.101  8.425  9.742 11.032
 7082.2   50  1.3166  0.180E+00  1.016  1.523    0.60  0.8457  0.990  1.523  0.272  0.382  1.000  1.145  0.752  0.261  0.048  0.005  0.000  0.000
  300.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.2356  0.990  1.699  0.584  0.938  1.000  2.813  4.459  5.960  7.435  8.867 10.282 11.637
  400.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.2605  0.990  1.699  0.610  0.918  1.000  2.753  4.293  5.618  6.949  8.170  9.360 10.442
  440.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.1318  0.990  1.699  0.597  0.898  1.000  2.694  4.123  5.290  6.478  7.560  8.617  9.561
  500.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.3802  0.990  1.699  0.656  0.905  1.000  2.714  4.170  5.349  6.551  7.680  8.843  9.909
  550.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.3768  0.990  1.699  0.665  0.898  1.000  2.694  4.097  5.196  6.276  7.262  8.294  9.299
  600.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.1564  0.990  1.699  0.640  0.877  1.000  2.630  3.908  4.787  5.634  6.291  7.029  7.666
  675.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.1767  0.990  1.699  0.655  0.862  1.000  2.585  3.840  4.680  5.528  6.029  6.526  6.881
  800.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.6810  0.990  1.699  0.734  0.872  1.000  2.616  4.031  5.092  6.258  7.064  7.864  8.433
  870.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.6309  0.990  1.699  0.744  0.857  1.000  2.570  3.935  4.899  6.075  6.910  7.728  8.237
 1000.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.2025  0.990  1.699  0.715  0.771  1.000  2.312  3.364  3.893  4.794  5.369  5.933  6.344
 1020.0   70  1.4179  0.173E-01  1.016  1.699    0.60  2.1642  0.990  1.699  0.714  0.763  1.000  2.289  3.310  3.706  4.452  4.967  5.474  5.813
55555.6   70  1.8355  0.478E+00  1.016  1.699    0.60  0.1429  0.990  1.699  0.007  0.008  1.000  0.025  0.500  0.004  0.000  0.000  0.000  0.000
23529.4   70  1.8130  0.494E+00  1.016  1.699    0.60  0.4288  0.990  1.699  0.071  0.045  1.000  0.136  0.503  0.022  0.000  0.000  0.000  0.000
17699.1   70  1.9871  0.642E+00  1.016  1.699    0.60  0.8096  0.990  1.699  0.164  0.086  1.000  0.259  0.510  0.037  0.001  0.000  0.000  0.000
15037.6   70  1.5717  0.318E+00  1.016  1.699    0.60  0.6114  0.990  1.699  0.152  0.103  1.000  0.310  0.517  0.055  0.003  0.000  0.000  0.000
13157.9   70  1.6893  0.278E+00  1.016  1.699    0.60  0.7206  0.990  1.699  0.266  0.146  1.000  0.437  0.531  0.071  0.004  0.000  0.000  0.000
11111.1   70  1.7564  0.559E+00  1.016  1.699    0.60  1.6385  0.990  1.699  0.293  0.217  1.000  0.651  0.564  0.104  0.009  0.000  0.000  0.000
 9708.7   70  1.8590  0.755E+00  1.016  1.699    0.60  2.3979  0.990  1.699  0.359  0.289  1.000  0.867  0.608  0.146  0.018  0.001  0.000  0.000
 8849.6   70  1.6034  0.777E+00  1.016  1.699    0.60  2.3091  0.990  1.699  0.330  0.325  1.000  0.975  0.659  0.214  0.036  0.003  0.000  0.000
 7782.1   70  1.1347  0.407E+00  1.016  1.699    0.60  1.3019  0.990  1.699  0.190  0.382  1.000  1.145  0.775  0.322  0.068  0.008  0.001  0.000
 6968.6   70  1.2809  0.172E+00  1.016  1.699    0.60  0.9064  0.990  1.699  0.276  0.486  1.000  1.457  0.933  0.374  0.088  0.012  0.001  0.000
 6097.6   70  1.4549  0.217E+00  1.016  1.699    0.60  1.6797  0.990  1.699  0.428  0.628  1.000  1.883  1.301  0.559  0.170  0.030  0.003  0.000
 5154.6   70  1.3515  0.151E+00  1.016  1.699    0.60  1.4658  0.990  1.699  0.452  0.695  1.000  2.085  1.783  0.904  0.342  0.082  0.013  0.001
 4618.9   70  1.4025  0.150E+00  1.016  1.699    0.60  1.8844  0.990  1.699  0.529  0.720  1.000  2.159  2.167  1.318  0.580  0.168  0.034  0.005
 4319.7   70  1.4035  0.143E+00  1.016  1.699    0.60  2.0201  0.990  1.699  0.552  0.744  1.000  2.233  2.395  1.637  0.785  0.255  0.059  0.010
 4016.1   70  1.4100  0.161E+00  1.016  1.699    0.60  2.2353  0.990  1.699  0.544  0.777  1.000  2.330  2.633  2.046  1.100  0.413  0.114  0.022
