 h2so4 RRTMG LUT interpolated from GADS (DAR 09/2013)
 V0.1 - contains Fast-J wavelengths but is the same as the original jv_spec.dat values
  w(nm)   RH       N         iK  RgDry  RgWet      Sg       Q  Alpha  r-eff ss-alb  g-sym  pi(0)  pi(1)  pi(2)  pi(3)  pi(4)  pi(5)  pi(6)  pi(7)
  300.0    0  1.3326  0.000E+00  0.127  0.127    0.60  1.3788  0.990  0.127  1.000  0.728  1.000  2.185  2.408  1.673  0.833  0.278  0.069  0.012
  400.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.7202  0.990  0.127  1.000  0.669  1.000  2.006  1.557  0.669  0.220  0.046  0.007  0.001
  440.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.5436  0.990  0.127  1.000  0.621  1.000  1.863  1.287  0.517  0.149  0.026  0.003  0.000
  500.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.3841  0.990  0.127  1.000  0.507  1.000  1.520  0.972  0.363  0.085  0.012  0.001  0.000
  550.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.2995  0.990  0.127  1.000  0.416  1.000  1.247  0.808  0.280  0.055  0.006  0.000  0.000
  600.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.2361  0.990  0.127  1.000  0.343  1.000  1.029  0.707  0.223  0.037  0.004  0.000  0.000
  675.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.1662  0.990  0.127  1.000  0.264  1.000  0.793  0.623  0.168  0.022  0.002  0.000  0.000
  800.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.0946  0.990  0.127  1.000  0.184  1.000  0.551  0.559  0.115  0.011  0.001  0.000  0.000
  870.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.0702  0.990  0.127  1.000  0.154  1.000  0.463  0.542  0.096  0.008  0.000  0.000  0.000
 1000.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.0420  0.990  0.127  1.000  0.116  1.000  0.348  0.524  0.072  0.004  0.000  0.000  0.000
 1020.0    0  1.3326  0.000E+00  0.127  0.127    0.60  0.0390  0.990  0.127  1.000  0.111  1.000  0.334  0.522  0.069  0.004  0.000  0.000  0.000
55555.6    0  1.1684  0.258E+00  0.127  0.127    0.60  0.0093  0.990  0.127  0.000  0.000  1.000  0.000  0.500  0.000  0.000  0.000 -0.000 -0.000
23529.4    0  1.1684  0.258E+00  0.127  0.127    0.60  0.0219  0.990  0.127  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000 -0.000 -0.000
17699.1    0  1.1684  0.258E+00  0.127  0.127    0.60  0.0291  0.990  0.127  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
15037.6    0  1.1684  0.258E+00  0.127  0.127    0.60  0.0342  0.990  0.127  0.000  0.000  1.000  0.001  0.500  0.000  0.000  0.000  0.000 -0.000
13157.9    0  1.1684  0.258E+00  0.127  0.127    0.60  0.0391  0.990  0.127  0.000  0.001  1.000  0.002  0.500  0.000  0.000  0.000  0.000 -0.000
11111.1    0  1.1796  0.164E+00  0.127  0.127    0.60  0.0290  0.990  0.127  0.000  0.001  1.000  0.003  0.500  0.001  0.000  0.000  0.000 -0.000
 9708.7    0  1.3159  0.103E+00  0.127  0.127    0.60  0.0192  0.990  0.127  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
 8849.6    0  1.2787  0.149E+00  0.127  0.127    0.60  0.0313  0.990  0.127  0.000  0.001  1.000  0.004  0.500  0.001  0.000  0.000  0.000  0.000
