Day,Area [km2]
1,19.467517293839276
2,77.73090373214089
3,174.83491993088495
4,310.91929761014677
5,485.231508371576
6,699.5665738648354
7,953.2472272882659
8,1243.6727606213988
9,1575.1163532451283
10,1942.948013165522
11,2353.451806674881
12,2803.130811845755
13,3282.2080453000017
14,3807.5275207740256
15,4377.369888230077
16,4970.976910794694
17,5641.068614746169
18,6293.47897196463
19,7002.479377594876
20,7753.239287217119
21,8648.501079454869
