Day,Area [km2]
1,19.440222967294567
2,78.81777599637967
3,174.7958452563803
4,315.2666054761622
5,500.96492146537014
6,701.0129535260415
7,952.5038013571966
8,1261.0619233952893
9,1574.5461869504652
10,2006.233965282005
11,2347.5496910794254
12,2877.7460834136964
13,3355.0597804694476
14,3832.314898745582
15,4466.795259730093
16,5240.772079803431
17,5624.852857648252
18,6401.228433842311
19,7543.919844049472
20,8235.498162171349
21,10005.61913975218
